,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,"robotdiff_DIFF:Marker1","robotdiff_DIFF:Marker1","robotdiff_DIFF:Marker1","robotdiff_DIFF:Marker1","robotdiff_DIFF:Marker2","robotdiff_DIFF:Marker2","robotdiff_DIFF:Marker2","robotdiff_DIFF:Marker2","robotdiff_DIFF:Marker3","robotdiff_DIFF:Marker3","robotdiff_DIFF:Marker3","robotdiff_DIFF:Marker3",robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3
,ID,"6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","C3570","C3570","C3570","C3730","C3730","C3730","C3810","C3810","C3810"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
11,0.110000,2.341794,0.747855,0.652796,-0.578790,0.097447,0.478362,0.000513,-0.481990,0.098796,0.451610,0.878649,-0.626228,0.096736,0.531390,0.928227,-0.628153,0.096808,0.452086,0.941147,-0.481533,0.098803,0.451446,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
12,0.120000,2.173356,0.790319,0.515308,-0.578788,0.097404,0.478601,0.000297,-0.481907,0.098536,0.452132,0.940879,-0.626381,0.096775,0.531491,0.968297,-0.628075,0.096903,0.452181,0.936815,-0.481671,0.098539,0.452114,-0.626411,0.096775,0.531368,-0.628281,0.096900,0.452327
13,0.130000,2.211201,0.721669,0.532702,-0.578757,0.097359,0.478525,0.000387,-0.481894,0.098493,0.451990,0.940879,-0.626315,0.096776,0.531446,0.968297,-0.628062,0.096809,0.452138,0.936815,-0.481553,0.098497,0.451935,-0.626411,0.096775,0.531368,-0.628297,0.096806,0.452272
14,0.140000,2.303951,0.818187,0.548965,-0.578753,0.097419,0.478420,0.000567,-0.481933,0.098619,0.451731,0.913473,-0.626225,0.096736,0.531417,0.969055,-0.628100,0.096903,0.452112,0.932189,-0.481433,0.098625,0.451565,-0.626513,0.096732,0.531357,-0.628281,0.096900,0.452327
15,0.150000,2.200530,0.820192,0.499575,-0.578786,0.097376,0.478540,0.000432,-0.481918,0.098493,0.452024,0.868151,-0.626354,0.096734,0.531452,0.926554,-0.628086,0.096903,0.452143,0.929635,-0.481553,0.098497,0.451935,-0.626513,0.096732,0.531357,-0.628281,0.096900,0.452327
16,0.160000,2.197895,0.884451,0.478699,-0.578813,0.097415,0.478574,0.000483,-0.481943,0.098522,0.452064,0.905972,-0.626383,0.096733,0.531484,0.953866,-0.628112,0.096990,0.452175,0.933014,-0.481535,0.098526,0.451989,-0.626513,0.096732,0.531357,-0.628379,0.096987,0.452380
17,0.170000,2.180849,0.751507,0.557716,-0.578815,0.097365,0.478542,0.000362,-0.481939,0.098554,0.452060,0.896338,-0.626402,0.096734,0.531438,0.954730,-0.628105,0.096809,0.452129,0.915954,-0.481628,0.098558,0.451997,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
18,0.180000,2.193368,0.751730,0.533772,-0.578792,0.097345,0.478522,0.000419,-0.481921,0.098493,0.452018,0.920702,-0.626367,0.096734,0.531428,0.965688,-0.628089,0.096809,0.452119,0.940112,-0.481553,0.098497,0.451935,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
19,0.190000,2.152306,0.680696,0.578873,-0.578822,0.097320,0.478544,0.000314,-0.481932,0.098517,0.452109,0.929156,-0.626434,0.096733,0.531417,0.975379,-0.628098,0.096711,0.452107,0.944978,-0.481653,0.098520,0.452065,-0.626513,0.096732,0.531357,-0.628292,0.096708,0.452211
20,0.200000,2.197635,0.721845,0.531353,-0.578794,0.097358,0.478549,0.000300,-0.481925,0.098489,0.452038,0.936200,-0.626365,0.096775,0.531460,0.974236,-0.628092,0.096809,0.452151,0.940419,-0.481671,0.098492,0.452011,-0.626411,0.096775,0.531368,-0.628297,0.096806,0.452272
21,0.210000,2.341794,0.747855,0.652796,-0.578790,0.097447,0.478362,0.000513,-0.481990,0.098796,0.451610,0.878649,-0.626228,0.096736,0.531390,0.928227,-0.628153,0.096808,0.452086,0.941147,-0.481533,0.098803,0.451446,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
22,0.220000,2.198561,0.790230,0.502055,-0.578754,0.097394,0.478565,0.000381,-0.481885,0.098502,0.452052,0.918855,-0.626324,0.096775,0.531475,0.965408,-0.628053,0.096903,0.452167,0.930296,-0.481565,0.098506,0.452002,-0.626411,0.096775,0.531368,-0.628281,0.096900,0.452327
23,0.230000,2.200212,0.819907,0.517712,-0.578776,0.097392,0.478538,0.000454,-0.481908,0.098539,0.452023,0.899932,-0.626344,0.096734,0.531449,0.952022,-0.628075,0.096903,0.452141,0.930587,-0.481519,0.098544,0.451927,-0.626513,0.096732,0.531357,-0.628281,0.096900,0.452327
24,0.240000,2.187697,0.789896,0.533571,-0.578768,0.097420,0.478581,0.000346,-0.481895,0.098583,0.452087,0.928128,-0.626348,0.096775,0.531482,0.967404,-0.628062,0.096903,0.452173,0.932915,-0.481609,0.098586,0.452051,-0.626411,0.096775,0.531368,-0.628281,0.096900,0.452327
25,0.250000,2.354148,0.746840,0.698860,-0.578829,0.097486,0.478360,0.000435,-0.482035,0.098913,0.451588,0.899555,-0.626255,0.096736,0.531398,0.934659,-0.628196,0.096808,0.452094,0.948839,-0.481661,0.098919,0.451443,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
26,0.260000,2.359827,0.817135,0.570027,-0.578789,0.097437,0.478370,0.000518,-0.481996,0.098672,0.451587,0.899555,-0.626210,0.096736,0.531414,0.934659,-0.628161,0.096902,0.452110,0.948839,-0.481551,0.098678,0.451416,-0.626513,0.096732,0.531357,-0.628281,0.096900,0.452327
27,0.270000,2.187239,0.752204,0.507759,-0.578823,0.097323,0.478537,0.000349,-0.481949,0.098426,0.452043,0.880880,-0.626403,0.096733,0.531438,0.922899,-0.628117,0.096808,0.452129,0.938041,-0.481652,0.098429,0.451981,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
28,0.280000,2.183298,0.863590,0.455866,-0.578849,0.097376,0.478550,0.000411,-0.481972,0.098436,0.452063,0.924173,-0.626433,0.096733,0.531448,0.965967,-0.628142,0.096961,0.452139,0.942467,-0.481608,0.098439,0.452017,-0.626513,0.096732,0.531357,-0.628416,0.096957,0.452278
29,0.290000,2.187242,0.902304,0.429686,-0.578802,0.097430,0.478592,0.000393,-0.481926,0.098460,0.452098,0.908205,-0.626382,0.096775,0.531492,0.969849,-0.628097,0.097055,0.452184,0.923085,-0.481591,0.098463,0.452080,-0.626411,0.096775,0.531368,-0.628402,0.097052,0.452333
30,0.300000,2.189783,0.790550,0.486553,-0.578725,0.097381,0.478566,0.000439,-0.481852,0.098463,0.452068,0.915890,-0.626303,0.096776,0.531469,0.967973,-0.628020,0.096903,0.452160,0.915087,-0.481470,0.098467,0.452005,-0.626411,0.096775,0.531368,-0.628281,0.096900,0.452327
31,0.310000,2.296374,0.749682,0.583172,-0.578759,0.097388,0.478402,0.000555,-0.481937,0.098619,0.451725,0.903399,-0.626239,0.096736,0.531393,0.962858,-0.628102,0.096809,0.452088,0.922517,-0.481433,0.098625,0.451565,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
32,0.320000,2.193368,0.751730,0.533772,-0.578792,0.097345,0.478522,0.000419,-0.481921,0.098493,0.452018,0.905512,-0.626367,0.096734,0.531428,0.959485,-0.628089,0.096809,0.452119,0.935370,-0.481553,0.098497,0.451935,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
33,0.330000,2.161478,0.751694,0.560664,-0.578818,0.097368,0.478564,0.000345,-0.481933,0.098561,0.452115,0.925227,-0.626422,0.096733,0.531443,0.968769,-0.628099,0.096809,0.452134,0.939588,-0.481638,0.098565,0.452063,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
34,0.340000,2.218584,0.751372,0.537969,-0.578820,0.097348,0.478502,0.000374,-0.481961,0.098503,0.451956,0.917431,-0.626372,0.096734,0.531430,0.960319,-0.628128,0.096808,0.452122,0.943347,-0.481640,0.098507,0.451876,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
