type,diff,,,,,
ngear,43.7,,,,,
encRes,64,,,,,
Li,0.205,,,,,
Di,0.084,0.084,,,,
Thi,,,,,,
N,6,,,,,
L,0.75,,,,,
imarkers,2,5,,,,
gt_ti,3.7,7.04,3.24,3.64,3.46,3.48
gt_tf,96.77,100.3,96.78,97.02,97.02,96.93
odo_ti,0,0,0,0,0,0
odo_tf,91,91.1,91.4,91.25,91.45,91.3
