type,omni3,,,
ngear,12,,,
encRes,1024,,,
Li,0.195,,,
Di,0.102,0.102,0.102,
Thi,,,,
N,4,,,
L,,,,
imarkers,4,1,3,
gt_ti,6.52,5.02,4.34,6.14
gt_tf,23.72,22.23,21.8,25.18
odo_ti,0,0,0,0
odo_tf,16.96,16.8799999999997,17.1199999999999,18.7599999999998
