,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,"robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker4","robot-omni3:Marker4","robot-omni3:Marker4","robot-omni3:Marker4",robot-omni3:Marker1,robot-omni3:Marker1,robot-omni3:Marker1,robot-omni3:Marker2,robot-omni3:Marker2,robot-omni3:Marker2,robot-omni3:Marker3,robot-omni3:Marker3,robot-omni3:Marker3,robot-omni3:Marker4,robot-omni3:Marker4,robot-omni3:Marker4
,ID,"11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","C3530","C3530","C3530","C4C00","C4C00","C4C00","C45C0","C45C0","C45C0","C3560","C3560","C3560"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
9,0.090000,-62.769802,-0.231298,0.533574,0.149311,0.801181,-0.158421,0.000808,0.247233,0.801933,-0.207518,0.949745,0.102577,0.801415,-0.153196,0.764757,0.082984,0.801116,-0.207493,0.000000,0.164451,0.800261,-0.065475,0.835736,0.247035,0.801934,-0.207553,0.103368,0.801407,-0.152685,,,,0.163951,0.800267,-0.065902
10,0.100000,,,,,,,,,,,,,,,,,,,,,,,,0.246924,0.801717,-0.207119,0.103368,0.801407,-0.152685,,,,0.163870,0.800294,-0.065898
11,0.110000,-62.881241,-0.307454,0.553842,0.149319,0.801128,-0.158288,0.001017,0.247336,0.801735,-0.207196,0.913154,0.102575,0.801414,-0.153154,0.769708,0.083087,0.801086,-0.207490,0.000000,0.164277,0.800278,-0.065313,0.823936,0.247014,0.801735,-0.207066,0.103368,0.801407,-0.152685,,,,0.163886,0.800286,-0.065899
12,0.120000,-62.886139,-0.301901,0.557309,0.149315,0.801134,-0.158289,0.001017,0.247337,0.801751,-0.207188,0.913926,0.102571,0.801414,-0.153159,0.768224,0.083087,0.801083,-0.207496,0.000000,0.164266,0.800286,-0.065312,0.823210,0.247017,0.801750,-0.207061,0.103368,0.801407,-0.152685,,,,0.163870,0.800294,-0.065898
13,0.130000,,,,,,,,,,,,,,,,,,,,,,,,0.247052,0.801747,-0.207094,,,,,,,0.163909,0.800300,-0.065923
14,0.140000,-62.782944,-0.253755,0.536541,0.149338,0.801165,-0.158421,0.000785,0.247271,0.801874,-0.207496,0.913926,0.102603,0.801415,-0.153207,0.768224,0.083022,0.801110,-0.207509,0.000000,0.164456,0.800261,-0.065472,0.823210,0.247095,0.801875,-0.207541,0.103368,0.801407,-0.152685,,,,0.163951,0.800267,-0.065902
15,0.150000,-62.871803,-0.284494,0.534815,0.149303,0.801140,-0.158282,0.000998,0.247312,0.801791,-0.207205,0.954751,0.102560,0.801414,-0.153140,0.768449,0.083063,0.801108,-0.207473,0.000000,0.164276,0.800249,-0.065310,0.834333,0.246986,0.801790,-0.207090,0.103368,0.801407,-0.152685,,,,0.163881,0.800256,-0.065860
16,0.160000,-62.774113,-0.231217,0.532375,0.149300,0.801180,-0.158382,0.000737,0.247225,0.801933,-0.207473,0.913416,0.102565,0.801414,-0.153161,0.768127,0.082976,0.801117,-0.207460,0.000000,0.164433,0.800258,-0.065436,0.830591,0.247035,0.801934,-0.207553,0.103368,0.801407,-0.152685,,,,0.163923,0.800263,-0.065774
17,0.170000,,,,,,,,,,,,,,,,,,,,,,,,0.246954,0.801676,-0.207088,,,,,,,0.163847,0.800199,-0.065800
18,0.180000,-62.878819,-0.305398,0.532829,0.149318,0.801138,-0.158303,0.000925,0.247334,0.801748,-0.207215,0.948372,0.102574,0.801428,-0.153167,0.766765,0.083084,0.801121,-0.207502,0.000000,0.164280,0.800254,-0.065329,0.847166,0.247052,0.801747,-0.207094,0.103276,0.801422,-0.152727,,,,0.163919,0.800261,-0.065883
19,0.190000,-62.877342,-0.288155,0.538213,0.149304,0.801139,-0.158321,0.001035,0.247318,0.801783,-0.207235,0.915918,0.102560,0.801415,-0.153184,0.762705,0.083068,0.801104,-0.207518,0.000000,0.164268,0.800255,-0.065347,0.816245,0.247005,0.801782,-0.207110,0.103368,0.801407,-0.152685,,,,0.163856,0.800263,-0.065956
20,0.200000,-62.935173,-0.249840,0.623758,0.149358,0.801021,-0.158369,0.001057,0.247421,0.801739,-0.207185,0.883393,0.102610,0.801242,-0.153279,0.758926,0.083173,0.800851,-0.207632,0.000000,0.164231,0.800251,-0.065379,0.851332,0.246980,0.801738,-0.207034,0.103505,0.801238,-0.152920,,,,0.163881,0.800256,-0.065860
21,0.210000,-62.814472,-0.251806,0.515322,0.149294,0.801161,-0.158446,0.000800,0.247255,0.801874,-0.207467,0.956093,0.102556,0.801416,-0.153257,0.751793,0.083005,0.801133,-0.207570,0.000000,0.164361,0.800223,-0.065489,0.823608,0.247095,0.801875,-0.207541,0.103368,0.801407,-0.152685,,,,0.163806,0.800229,-0.065924
22,0.220000,-62.906963,-0.236839,0.619901,0.149376,0.801044,-0.158432,0.000930,0.247414,0.801787,-0.207297,0.905602,0.102630,0.801256,-0.153319,0.784765,0.083166,0.800871,-0.207663,0.000000,0.164294,0.800262,-0.065450,0.858210,0.247055,0.801786,-0.207181,0.103413,0.801252,-0.152962,,,,0.163951,0.800267,-0.065902
23,0.230000,-62.926979,-0.239908,0.614844,0.149332,0.801040,-0.158399,0.000976,0.247388,0.801777,-0.207229,0.894040,0.102584,0.801256,-0.153302,0.775990,0.083139,0.800876,-0.207653,0.000000,0.164218,0.800251,-0.065412,0.859811,0.246985,0.801776,-0.207097,0.103413,0.801252,-0.152962,,,,0.163881,0.800256,-0.065860
24,0.240000,-62.780666,-0.233423,0.551606,0.149297,0.801185,-0.158431,0.000818,0.247228,0.801933,-0.207510,0.950655,0.102562,0.801414,-0.153215,0.758874,0.082979,0.801098,-0.207516,0.000000,0.164419,0.800294,-0.065483,0.831291,0.247035,0.801934,-0.207553,0.103368,0.801407,-0.152685,,,,0.163903,0.800300,-0.065917
25,0.250000,-62.941521,-0.210289,0.680249,0.149419,0.800954,-0.158395,0.001064,0.247485,0.801749,-0.207201,0.888338,0.102669,0.801128,-0.153310,0.739167,0.083238,0.800686,-0.207666,0.000000,0.164282,0.800252,-0.065403,0.848111,0.247052,0.801747,-0.207094,0.103637,0.801124,-0.152920,,,,0.163881,0.800256,-0.065860
26,0.260000,,,,,,,,,,,,,,,,,,,,,,,,0.247052,0.801747,-0.207094,,,,,,,0.163843,0.800196,-0.065909
27,0.270000,-62.784416,-0.230864,0.528072,0.149289,0.801180,-0.158415,0.000786,0.247223,0.801933,-0.207488,0.888338,0.102554,0.801415,-0.153202,0.739167,0.082974,0.801122,-0.207505,0.000000,0.164405,0.800251,-0.065467,0.848111,0.247035,0.801934,-0.207553,0.103368,0.801407,-0.152685,,,,0.163881,0.800256,-0.065860
28,0.280000,-62.884506,-0.177628,0.619709,0.149347,0.801074,-0.158405,0.001056,0.247365,0.801931,-0.207308,0.950209,0.102602,0.801241,-0.153274,0.758851,0.083118,0.800864,-0.207610,0.000000,0.164302,0.800261,-0.065429,0.836171,0.246920,0.801929,-0.207158,0.103505,0.801238,-0.152920,,,,0.163951,0.800267,-0.065902
29,0.290000,-62.889992,-0.302637,0.540292,0.149345,0.801128,-0.158270,0.001004,0.247370,0.801744,-0.207162,0.882574,0.102600,0.801414,-0.153143,0.757727,0.083120,0.801100,-0.207482,0.000000,0.164288,0.800255,-0.065293,0.852771,0.247050,0.801743,-0.207024,0.103368,0.801407,-0.152685,,,,0.163913,0.800262,-0.065878
30,0.300000,,,,,,,,,,,,,,,,,,,,,,,,0.246978,0.801858,-0.207226,,,,,,,0.163909,0.800300,-0.065923
31,0.310000,-62.845917,-0.257075,0.551880,0.149251,0.801123,-0.158260,0.000780,0.247237,0.801826,-0.207228,0.913058,0.102510,0.801371,-0.153098,0.776479,0.082988,0.801051,-0.207421,0.000000,0.164267,0.800244,-0.065295,0.826015,0.247025,0.801826,-0.207211,0.103205,0.801365,-0.152655,,,,0.163851,0.800250,-0.065728
32,0.320000,-62.905361,-0.193938,0.642534,0.149368,0.801069,-0.158409,0.001074,0.247404,0.801894,-0.207277,0.883564,0.102621,0.801242,-0.153295,0.760157,0.083157,0.800839,-0.207638,0.000000,0.164290,0.800300,-0.065427,0.844877,0.246968,0.801892,-0.207112,0.103505,0.801238,-0.152920,,,,0.163941,0.800305,-0.065941
33,0.330000,,,,,,,,,,,,,,,,,,,,,,,,0.247052,0.801747,-0.207094,,,,,,,0.163881,0.800256,-0.065860
34,0.340000,-62.792511,-0.255895,0.554735,0.149325,0.801169,-0.158433,0.000797,0.247267,0.801874,-0.207492,0.955491,0.102589,0.801415,-0.153226,0.762987,0.083017,0.801092,-0.207532,0.000000,0.164428,0.800294,-0.065481,0.829595,0.247095,0.801875,-0.207541,0.103368,0.801407,-0.152685,,,,0.163909,0.800300,-0.065923
35,0.350000,-62.860016,-0.282310,0.547379,0.149271,0.801160,-0.158334,0.000928,0.247270,0.801815,-0.207278,0.925901,0.102529,0.801428,-0.153183,0.781100,0.083020,0.801109,-0.207511,0.000000,0.164263,0.800287,-0.065365,0.834271,0.246989,0.801814,-0.207184,0.103276,0.801422,-0.152727,,,,0.163870,0.800294,-0.065898
36,0.360000,-62.935104,-0.246455,0.623308,0.149383,0.801024,-0.158389,0.000998,0.247445,0.801748,-0.207206,0.897882,0.102634,0.801242,-0.153299,0.762509,0.083197,0.800852,-0.207653,0.000000,0.164255,0.800251,-0.065400,0.851693,0.247052,0.801747,-0.207094,0.103505,0.801238,-0.152920,,,,0.163881,0.800256,-0.065860
37,0.370000,,,,,,,,,,,,,,,,,,,,,,,,0.247095,0.801875,-0.207541,,,,,,,0.163881,0.800256,-0.065860
38,0.380000,,,,,,,,,,,,,,,,,,,,,,,,0.246978,0.801858,-0.207226,,,,,,,0.163889,0.800247,-0.065853
