type,omni3,,,,,,,,,,
ngear,12,,,,,,,,,,
encRes,1024,,,,,,,,,,
Li,0.195,,,,,,,,,,
Di,0.102,0.102,0.102,,,,,,,,
Thi,,,,,,,,,,,
N,11,,,,,,,,,,
L,,,,,,,,,,,
imarkers,4,1,3,,,,,,,,
gt_ti,5.57,4,2.77,4.79,3.92,4.46,4.05,3.95,5.32,7.73,4.11
gt_tf,57.84,57.18,55.17,56.62,55.97,56.55,56.94,55.86,57.6,53.7,50.27
odo_ti,0,0,0,0,0,0,0,0,0,0,0
odo_tf,51.3199999999999,52.16,51.36,50.8399999999999,51.04,51.0799999999999,51.8799999999999,50.8800000000001,51.28,44.96,45.24
