Format Version,1.23,Take Name,020120212354_robot-diff-center,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-01-03 12.53.16.324 ,Total Frames in Take,3447,Total Exported Frames,3447,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-0.014496,0.063325,-0.252136,0.795853,0.059986,0.518057,0.000293,0.838734,0.073812,0.590977,0.837970,0.771069,0.030647,0.626260,0.875362,0.766381,0.031071,0.411469,0.781693,0.729088,0.074996,0.594269,0.910556,0.726400,0.076425,0.446880,0.878469,0.943442,0.072968,0.438489,0.902132,0.838770,0.074402,0.591242,0.771337,0.030505,0.626656,0.766160,0.031823,0.411085,0.728986,0.074711,0.594079,0.726361,0.075956,0.446757,0.943500,0.072583,0.438525
7,0.070000,0.023417,0.062626,-0.339093,0.795883,0.059925,0.517983,0.000314,0.838834,0.073686,0.590874,0.837970,0.771127,0.030624,0.626202,0.875362,0.766297,0.031052,0.411415,0.781693,0.729192,0.075036,0.594239,0.910556,0.726408,0.076468,0.446852,0.878469,0.943439,0.072681,0.438317,0.902132,0.838775,0.074347,0.591284,0.771464,0.030457,0.626518,0.766230,0.031855,0.411146,0.728947,0.074717,0.594031,0.726406,0.076024,0.446752,0.943478,0.072202,0.438173
8,0.080000,-0.014374,0.068052,-0.284563,0.795855,0.059984,0.518033,0.000255,0.838744,0.073779,0.590953,0.805122,0.771055,0.030650,0.626233,0.877363,0.766366,0.031094,0.411442,0.787702,0.729099,0.075025,0.594246,0.886842,0.726411,0.076468,0.446857,0.886252,0.943451,0.072889,0.438465,0.874464,0.838692,0.074330,0.591220,0.771464,0.030457,0.626518,0.766160,0.031823,0.411085,0.728927,0.074843,0.594107,0.726456,0.075989,0.446734,0.943437,0.072499,0.438524
9,0.090000,-0.004355,0.076504,-0.270220,0.795877,0.059989,0.518043,0.000252,0.838776,0.073784,0.590958,0.846392,0.771103,0.030632,0.626243,0.866460,0.766377,0.031107,0.411454,0.790540,0.729130,0.075001,0.594270,0.928445,0.726417,0.076465,0.446882,0.876045,0.943456,0.072942,0.438451,0.901365,0.838732,0.074338,0.591233,0.771464,0.030457,0.626518,0.766230,0.031855,0.411146,0.728968,0.074790,0.594089,0.726427,0.075992,0.446792,0.943444,0.072541,0.438474
10,0.100000,-0.022321,0.059046,-0.257187,0.795855,0.059991,0.518049,0.000272,0.838728,0.073819,0.590974,0.863454,0.771055,0.030663,0.626251,0.861120,0.766396,0.031070,0.411460,0.781766,0.729081,0.075012,0.594251,0.900214,0.726414,0.076431,0.446861,0.884653,0.943457,0.072954,0.438500,0.906250,0.838702,0.074318,0.591193,0.771391,0.030597,0.626688,0.766160,0.031823,0.411085,0.728921,0.074696,0.594067,0.726456,0.075989,0.446734,0.943500,0.072583,0.438525
11,0.110000,-0.021895,0.043084,-0.264119,0.795869,0.060051,0.518059,0.000274,0.838744,0.073893,0.590979,0.844523,0.771066,0.030755,0.626268,0.873353,0.766405,0.031103,0.411477,0.790019,0.729098,0.075101,0.594257,0.901875,0.726430,0.076478,0.446866,0.882637,0.943472,0.072973,0.438505,0.901947,0.838758,0.074456,0.591243,0.771387,0.030627,0.626638,0.766230,0.031855,0.411146,0.728936,0.074812,0.594046,0.726406,0.076024,0.446752,0.943500,0.072583,0.438525
12,0.120000,0.039251,0.068052,-0.352558,0.795843,0.059929,0.517957,0.000289,0.838817,0.073673,0.590838,0.813669,0.771110,0.030624,0.626181,0.870866,0.766220,0.031074,0.411395,0.788098,0.729176,0.075049,0.594233,0.896637,0.726352,0.076495,0.446847,0.891224,0.943380,0.072658,0.438251,0.881625,0.838718,0.074331,0.591173,0.771464,0.030457,0.626518,0.766056,0.031830,0.411050,0.728976,0.074733,0.594055,0.726365,0.076066,0.446774,0.943478,0.072202,0.438173
13,0.130000,-0.009564,0.070941,-0.248662,0.795864,0.059996,0.518041,0.000265,0.838751,0.073814,0.590959,0.813669,0.771092,0.030641,0.626241,0.870866,0.766385,0.031092,0.411452,0.788098,0.729105,0.074991,0.594260,0.896637,0.726404,0.076439,0.446872,0.891224,0.943446,0.072997,0.438461,0.881625,0.838718,0.074431,0.591210,0.771464,0.030457,0.626518,0.766160,0.031823,0.411085,0.729016,0.074730,0.594050,0.726427,0.075992,0.446792,0.943401,0.072578,0.438577
14,0.140000,0.026356,0.057484,-0.335822,0.795871,0.059924,0.517976,0.000308,0.838825,0.073694,0.590864,0.833196,0.771123,0.030632,0.626199,0.875385,0.766281,0.031041,0.411412,0.788086,0.729183,0.075039,0.594234,0.913464,0.726392,0.076457,0.446847,0.886319,0.943423,0.072682,0.438301,0.890645,0.838741,0.074393,0.591302,0.771464,0.030457,0.626518,0.766160,0.031823,0.411085,0.728981,0.074708,0.594034,0.726406,0.076024,0.446752,0.943478,0.072202,0.438173
15,0.150000,-0.016523,0.059183,-0.273656,0.795870,0.060028,0.518051,0.000237,0.838755,0.073842,0.590971,0.792723,0.771072,0.030705,0.626254,0.875445,0.766392,0.031115,0.411464,0.785854,0.729109,0.075067,0.594259,0.890890,0.726427,0.076487,0.446870,0.889107,0.943468,0.072948,0.438487,0.874955,0.838728,0.074319,0.591144,0.771387,0.030627,0.626638,0.766230,0.031855,0.411146,0.728968,0.074790,0.594089,0.726412,0.076034,0.446758,0.943500,0.072583,0.438525
16,0.160000,-0.024252,0.057736,-0.264635,0.795850,0.060015,0.518050,0.000293,0.838723,0.073838,0.590976,0.844104,0.771042,0.030692,0.626251,0.879904,0.766391,0.031095,0.411460,0.787408,0.729076,0.075046,0.594249,0.888998,0.726414,0.076462,0.446859,0.890217,0.943456,0.072957,0.438505,0.905706,0.838797,0.074388,0.591260,0.771311,0.030633,0.626645,0.766160,0.031823,0.411085,0.728918,0.074697,0.594025,0.726412,0.076034,0.446758,0.943500,0.072583,0.438525
17,0.170000,-0.018579,0.072845,-0.263592,0.795880,0.060022,0.518041,0.000268,0.838759,0.073826,0.590966,0.833138,0.771083,0.030669,0.626237,0.870434,0.766410,0.031129,0.411446,0.798583,0.729113,0.075032,0.594251,0.912819,0.726436,0.076486,0.446862,0.884044,0.943478,0.072987,0.438485,0.898247,0.838741,0.074430,0.591251,0.771464,0.030457,0.626518,0.766230,0.031855,0.411146,0.728936,0.074812,0.594046,0.726412,0.076034,0.446758,0.943500,0.072583,0.438525
18,0.180000,-0.014001,0.112627,-0.272177,0.795855,0.059963,0.518036,0.000267,0.838742,0.073711,0.590967,0.835083,0.771063,0.030539,0.626213,0.873692,0.766373,0.031149,0.411423,0.804244,0.729097,0.074930,0.594261,0.924653,0.726408,0.076487,0.446873,0.891317,0.943449,0.072962,0.438477,0.903603,0.838689,0.074301,0.591258,0.771399,0.030316,0.626517,0.766160,0.031823,0.411085,0.729016,0.074730,0.594050,0.726365,0.076066,0.446774,0.943500,0.072583,0.438525
19,0.190000,-0.014331,0.086256,-0.280055,0.795861,0.059958,0.518051,0.000286,0.838750,0.073734,0.590976,0.835083,0.771064,0.030588,0.626241,0.873692,0.766375,0.031099,0.411451,0.804244,0.729104,0.074970,0.594269,0.924653,0.726417,0.076459,0.446880,0.891317,0.943457,0.072900,0.438487,0.903603,0.838772,0.074387,0.591305,0.771414,0.030335,0.626536,0.766160,0.031823,0.411085,0.728937,0.074770,0.594117,0.726456,0.075989,0.446734,0.943437,0.072499,0.438524
20,0.200000,0.019296,0.019895,-0.334509,0.795872,0.059967,0.517998,0.000311,0.838816,0.073786,0.590882,0.816857,0.771111,0.030746,0.626237,0.869491,0.766296,0.031013,0.411449,0.790256,0.729174,0.075130,0.594238,0.924708,0.726401,0.076452,0.446849,0.876634,0.943433,0.072677,0.438333,0.899212,0.838735,0.074415,0.591225,0.771387,0.030627,0.626638,0.766230,0.031855,0.411146,0.728980,0.074768,0.594016,0.726427,0.075992,0.446792,0.943478,0.072202,0.438173
