type,omni4,,,
ngear,1,,,
encRes,1,,,
Li,0.2,0.2,,
Di,0.06,0.06,0.06,0.06
Thi,,,,
N,4,,,
L,,,,
imarkers,8,7,5,6
gt_ti,8.83,6.61,4.09,3.35
gt_tf,156.5,154.5,151.7,151.5
odo_ti,0,0,0,0
odo_tf,138.93,138.98,138.95,139.4
