Format Version,1.23,Take Name,23122020-robot-omni4-center,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-12-23 04.03.55.952 ,Total Frames in Take,2839,Total Exported Frames,2839,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-0.015721,-0.003830,-0.042258,1.177028,0.056257,0.335379,0.000112,1.177573,0.099077,0.413190,0.987690,1.278209,0.096785,0.262277,0.966376,1.272413,0.098510,0.418020,0.969268,1.046496,0.102461,0.252066,0.985799,1.054003,0.013972,0.458084,0.977784,1.064417,0.015061,0.202270,0.925822,1.267015,0.011982,0.210513,0.934278,1.256097,0.012209,0.466614,0.971492,1.177554,0.099119,0.413207,1.278196,0.096759,0.262146,1.272350,0.098410,0.418053,1.046487,0.102417,0.252101,1.054059,0.013920,0.458129,1.064213,0.015190,0.202098,1.267201,0.011939,0.210694,1.256156,0.012305,0.466604
7,0.070000,0.007504,0.019850,-0.014493,1.177017,0.056275,0.335338,0.000124,1.177573,0.099063,0.413167,0.987690,1.278149,0.096883,0.262212,0.966376,1.272415,0.098540,0.417957,0.969268,1.046429,0.102450,0.252097,0.985799,1.054063,0.013880,0.458075,0.977784,1.064372,0.015079,0.202258,0.925822,1.266976,0.012095,0.210417,0.934278,1.256161,0.012211,0.466523,0.971492,1.177500,0.099200,0.413302,1.278196,0.096759,0.262146,1.272416,0.098565,0.418076,1.046430,0.102418,0.252119,1.054220,0.013757,0.458010,1.064213,0.015190,0.202098,1.267001,0.012011,0.210348,1.256156,0.012305,0.466604
8,0.080000,0.001210,-0.005894,-0.014870,1.177027,0.056278,0.335387,0.000035,1.177575,0.099101,0.413196,0.948550,1.278167,0.096852,0.262253,0.963130,1.272417,0.098579,0.417997,0.969529,1.046449,0.102417,0.252111,0.990067,1.054059,0.013939,0.458129,0.947484,1.064397,0.015023,0.202313,0.937091,1.266999,0.012041,0.210495,0.972075,1.256156,0.012272,0.466600,0.968865,1.177554,0.099119,0.413207,1.278196,0.096759,0.262146,1.272416,0.098565,0.418076,1.046430,0.102418,0.252119,1.054059,0.013920,0.458129,1.064402,0.015033,0.202313,1.267005,0.012103,0.210499,1.256156,0.012305,0.466604
9,0.090000,-0.013041,-0.012207,-0.034516,1.177032,0.056245,0.335361,0.000108,1.177575,0.099076,0.413165,0.992523,1.278204,0.096776,0.262248,0.963768,1.272415,0.098522,0.417990,0.979906,1.046490,0.102419,0.252047,0.994877,1.054018,0.013961,0.458077,0.995356,1.064420,0.015013,0.202263,0.997096,1.267020,0.011963,0.210496,0.984362,1.256113,0.012226,0.466598,0.991696,1.177496,0.099028,0.413193,1.278196,0.096759,0.262146,1.272416,0.098565,0.418076,1.046515,0.102348,0.252093,1.054059,0.013920,0.458129,1.064213,0.015190,0.202098,1.267197,0.011846,0.210542,1.256156,0.012305,0.466604
10,0.100000,-0.010699,0.003493,-0.016541,1.177054,0.056238,0.335349,0.000123,1.177586,0.099048,0.413165,0.977766,1.278210,0.096821,0.262243,0.971013,1.272427,0.098522,0.417986,0.979805,1.046494,0.102394,0.252053,0.983931,1.054059,0.013882,0.458059,0.947512,1.064450,0.015008,0.202245,0.916765,1.267050,0.012018,0.210469,0.929432,1.256154,0.012208,0.466571,0.974341,1.177554,0.099119,0.413207,1.278196,0.096759,0.262146,1.272372,0.098485,0.417940,1.046515,0.102348,0.252093,1.054220,0.013757,0.458010,1.064213,0.015190,0.202098,1.267201,0.011939,0.210694,1.256156,0.012305,0.466604
11,0.110000,-0.012557,-0.020017,-0.008615,1.177057,0.056257,0.335402,0.000048,1.177581,0.099100,0.413200,0.984249,1.278210,0.096824,0.262282,0.973205,1.272422,0.098589,0.418025,0.989067,1.046493,0.102361,0.252083,0.993033,1.054064,0.013935,0.458125,0.996008,1.064463,0.014957,0.202311,0.975629,1.267063,0.011999,0.210543,0.949157,1.256159,0.012293,0.466644,0.989303,1.177581,0.099070,0.413256,1.278150,0.096912,0.262266,1.272396,0.098622,0.418010,1.046515,0.102348,0.252093,1.054059,0.013920,0.458129,1.064402,0.015033,0.202313,1.267197,0.011846,0.210542,1.256156,0.012305,0.466604
12,0.120000,-0.015108,-0.006348,-0.030555,1.177015,0.056275,0.335394,0.000120,1.177552,0.099099,0.413203,0.966742,1.278187,0.096821,0.262289,0.960981,1.272393,0.098551,0.418031,0.986808,1.046473,0.102449,0.252080,0.983530,1.054000,0.013971,0.458101,0.979480,1.064411,0.015050,0.202288,0.922884,1.267010,0.012012,0.210528,0.934249,1.256094,0.012249,0.466630,0.978019,1.177445,0.099109,0.413281,1.278196,0.096759,0.262146,1.272416,0.098565,0.418076,1.046430,0.102418,0.252119,1.054059,0.013920,0.458129,1.064213,0.015190,0.202098,1.267201,0.011939,0.210694,1.256156,0.012305,0.466604
13,0.130000,-0.008137,-0.009381,-0.017589,1.177067,0.056211,0.335407,0.000079,1.177604,0.099039,0.413214,0.966742,1.278221,0.096776,0.262288,0.960981,1.272445,0.098513,0.418031,0.986808,1.046504,0.102351,0.252107,0.983530,1.054077,0.013886,0.458132,0.979480,1.064456,0.014953,0.202318,0.922884,1.267057,0.011962,0.210533,0.934249,1.256172,0.012210,0.466636,0.978019,1.177581,0.099070,0.413256,1.278196,0.096759,0.262146,1.272393,0.098428,0.418007,1.046430,0.102418,0.252119,1.054149,0.013792,0.458122,1.064402,0.015033,0.202313,1.267233,0.011884,0.210695,1.256156,0.012305,0.466604
14,0.140000,-0.009953,-0.020992,-0.036026,1.177050,0.056214,0.335395,0.000075,1.177598,0.099057,0.413193,0.985952,1.278219,0.096731,0.262271,0.963648,1.272439,0.098501,0.418013,0.974456,1.046505,0.102379,0.252081,0.974986,1.054042,0.013952,0.458125,0.970446,1.064430,0.014965,0.202310,0.975830,1.267030,0.011910,0.210533,0.937012,1.256137,0.012213,0.466635,0.974478,1.177581,0.099070,0.413256,1.278196,0.096759,0.262146,1.272350,0.098410,0.418053,1.046430,0.102418,0.252119,1.054059,0.013920,0.458129,1.064402,0.015033,0.202313,1.267229,0.011791,0.210543,1.256156,0.012305,0.466604
15,0.150000,-0.017514,-0.019561,-0.016626,1.177058,0.056231,0.335412,0.000070,1.177582,0.099073,0.413212,0.983543,1.278224,0.096784,0.262302,0.967436,1.272422,0.098549,0.418044,0.966528,1.046508,0.102354,0.252082,0.976936,1.054049,0.013925,0.458124,0.990949,1.064470,0.014948,0.202311,0.981481,1.267070,0.011961,0.210561,0.941905,1.256143,0.012254,0.466662,0.975162,1.177524,0.098977,0.413244,1.278196,0.096759,0.262146,1.272416,0.098565,0.418076,1.046515,0.102348,0.252093,1.054059,0.013920,0.458129,1.064402,0.015033,0.202313,1.267201,0.011939,0.210694,1.256156,0.012305,0.466604
