type,diff,,,,,,,,,
ngear,43.7,,,,,,,,,
encRes,64,,,,,,,,,
Li,0.2,,,,,,,,,
Di,0.084,0.084,,,,,,,,
Thi,,,,,,,,,,
N,10,,,,,,,,,
L,0.75,,,,,,,,,
imarkers,2,5,,,,,,,,
gt_ti,3.43,3.91,3.18,3.55,2.51,3.62,2.9,3.13,3.63,2.95
gt_tf,96.05,96.57,96.01,96.29,95.36,96.44,95.92,96.26,96.61,95.71
odo_ti,0,0,0,0,0,0,0,0,0,0
odo_tf,90.6,90.55,90.7,90.6,90.7,90.7,90.9,90.95,90.9000000000001,90.6500000000001
