type,omni4,,,
ngear,1,,,
encRes,1,,,
Li,0.2,0.2,,
Di,0.06,0.06,0.06,0.06
Thi,,,,
N,4,,,
L,,,,
imarkers,8,7,5,6
gt_ti,4.97,5.73,3.16,5.83
gt_tf,225.6,226.5,223.8,227.1
odo_ti,0,0,0,0
odo_tf,207.66,207.71,207.65,208.11
