type,tricyc,
ngear,1,
encRes,1600,
Li,0.15,
Di,0.065,
Thi,0,
N,2,
L,,
imarkers,5,1
gt_ti,4.22,5.57
gt_tf,189.4,200.6
odo_ti,0,0
odo_tf,147.15,156.5
