968.5,0,0
968.55,0,0
968.6,0,0
968.65,0,0
968.7,0,0
968.75,0,0
968.8,0,0
968.85,0,0
968.9,0,0
968.95,0,0
969,0,0
969.05,0,0
969.1,0,0
969.15,0,0
969.2,0,0
969.25,0,0
969.3,0,0
969.35,0,0
969.4,0,0
969.45,0,0
969.5,0,0
969.55,0,0
969.6,0,0
969.65,0,0
969.7,0,0
969.75,0,0
969.8,0,0
969.85,0,0
969.9,0,0
969.95,0,0
970,0,0
970.05,0,0
970.1,0,0
970.15,0,0
970.2,0,0
970.25,0,0
970.3,0,0
970.35,0,0
970.4,0,0
970.45,0,0
970.5,0,0
970.55,0,0
970.6,0,0
970.65,0,0
970.7,0,0
970.75,0,0
970.8,0,0
970.85,0,8
970.9,0,17
970.95,0,23
971,1,28
971.05,19,35
971.1,28,39
971.15,30,38
971.2,28,32
971.25,31,33
971.3,36,42
971.35,42,46
971.4,48,48
971.45,54,52
971.5,55,53
971.55,57,57
971.6,63,61
971.65,65,63
971.7,63,62
971.75,63,60
971.8,60,60
971.85,58,59
971.9,61,60
971.95,62,59
972,61,61
972.05,61,59
972.1,59,61
972.15,58,59
972.2,64,64
972.25,70,70
972.3,71,73
972.35,74,75
972.4,73,71
972.45,70,69
972.5,68,69
972.55,68,68
972.6,72,70
972.65,72,72
972.7,71,70
972.75,67,68
972.8,67,69
972.85,67,71
972.9,67,70
972.95,69,71
973,71,71
973.05,71,71
973.1,70,70
973.15,69,69
973.2,69,70
973.25,68,71
973.3,66,68
973.35,69,70
973.4,74,72
973.45,74,72
973.5,70,69
973.55,69,67
973.6,71,69
973.65,70,69
973.7,71,71
973.75,72,71
973.8,73,72
973.85,71,70
973.9,71,71
973.95,72,70
974,72,71
974.05,70,69
974.1,70,68
974.15,68,68
974.2,71,70
974.25,70,71
974.3,69,72
974.35,69,73
974.4,69,74
974.45,65,74
974.5,62,76
974.55,64,77
974.6,65,75
974.65,64,75
974.7,64,76
974.75,66,75
974.8,63,75
974.85,60,72
974.9,62,75
974.95,65,77
975,64,76
975.05,66,74
975.1,67,75
975.15,63,76
975.2,64,75
975.25,65,75
975.3,61,76
975.35,61,73
975.4,63,75
975.45,67,76
975.5,66,75
975.55,66,75
975.6,64,75
975.65,65,74
975.7,68,75
975.75,67,75
975.8,69,74
975.85,69,76
975.9,68,76
975.95,65,75
976,63,74
976.05,66,74
976.1,68,76
976.15,67,76
976.2,65,75
976.25,64,74
976.3,62,70
976.35,64,74
976.4,65,76
976.45,66,74
976.5,65,76
976.55,69,76
976.6,67,77
976.65,63,77
976.7,65,74
976.75,65,75
976.8,66,75
976.85,67,73
976.9,68,72
976.95,67,70
977,67,66
977.05,69,65
977.1,72,64
977.15,76,67
977.2,78,67
977.25,75,68
977.3,75,65
977.35,76,59
977.4,76,57
977.45,78,59
977.5,82,60
977.55,86,61
977.6,86,61
977.65,83,58
977.7,81,56
977.75,85,56
977.8,88,54
977.85,90,55
977.9,87,53
977.95,87,54
978,86,53
978.05,87,55
978.1,88,54
978.15,86,52
978.2,85,54
978.25,85,53
978.3,85,54
978.35,88,54
978.4,86,53
978.45,86,54
978.5,86,52
978.55,85,53
978.6,87,56
978.65,87,56
978.7,83,54
978.75,84,49
978.8,87,50
978.85,90,49
978.9,90,50
978.95,93,48
979,90,50
979.05,87,49
979.1,87,46
979.15,93,48
979.2,93,50
979.25,94,51
979.3,93,49
979.35,93,48
979.4,96,44
979.45,97,40
979.5,99,42
979.55,99,46
979.6,96,43
979.65,97,43
979.7,97,44
979.75,97,41
979.8,97,42
979.85,100,43
979.9,99,43
979.95,98,45
980,96,41
980.05,97,41
980.1,97,43
980.15,94,43
980.2,95,43
980.25,95,44
980.3,95,42
980.35,96,44
980.4,97,44
