,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,"robotdiff_CENT...:Marker1","robotdiff_CENT...:Marker1","robotdiff_CENT...:Marker1","robotdiff_CENT...:Marker1","robotdiff_CENT...:Marker2","robotdiff_CENT...:Marker2","robotdiff_CENT...:Marker2","robotdiff_CENT...:Marker2","robotdiff_CENT...:Marker3","robotdiff_CENT...:Marker3","robotdiff_CENT...:Marker3","robotdiff_CENT...:Marker3","robotdiff_CENT...:Marker4","robotdiff_CENT...:Marker4","robotdiff_CENT...:Marker4","robotdiff_CENT...:Marker4","robotdiff_CENT...:Marker5","robotdiff_CENT...:Marker5","robotdiff_CENT...:Marker5","robotdiff_CENT...:Marker5",robotdiff_CENT...:Marker1,robotdiff_CENT...:Marker1,robotdiff_CENT...:Marker1,robotdiff_CENT...:Marker2,robotdiff_CENT...:Marker2,robotdiff_CENT...:Marker2,robotdiff_CENT...:Marker3,robotdiff_CENT...:Marker3,robotdiff_CENT...:Marker3,robotdiff_CENT...:Marker4,robotdiff_CENT...:Marker4,robotdiff_CENT...:Marker4,robotdiff_CENT...:Marker5,robotdiff_CENT...:Marker5,robotdiff_CENT...:Marker5
,ID,"BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","C42B0","C42B0","C42B0","C4830","C4830","C4830","C4970","C4970","C4970","C49C0","C49C0","C49C0","C4A20","C4A20","C4A20"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
643,6.430000,-0.084206,-0.082379,-0.004710,-0.125169,0.083637,-0.400702,0.000480,-0.218935,0.057653,-0.388653,0.928571,-0.185215,0.101086,-0.426677,0.945547,-0.180913,0.101071,-0.354198,0.944362,-0.001036,0.057108,-0.399621,0.732414,-0.039745,0.101265,-0.434359,0.940126,-0.218659,0.057582,-0.388682,-0.185009,0.101129,-0.426731,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
644,6.440000,-0.052237,0.054848,0.187827,-0.124754,0.083750,-0.400788,0.000214,-0.218425,0.057423,-0.388750,0.965453,-0.184873,0.101060,-0.426689,0.946631,-0.180530,0.100886,-0.354212,0.934722,-0.000532,0.057637,-0.399840,0.975730,-0.039409,0.101747,-0.434451,0.936325,-0.218363,0.057299,-0.388748,-0.185052,0.101164,-0.426741,-0.180737,0.100986,-0.354090,-0.000453,0.057623,-0.399895,-0.039163,0.101684,-0.434467
645,6.450000,-0.063863,-0.123735,0.017344,-0.125147,0.083637,-0.400663,0.000531,-0.218899,0.057626,-0.388562,0.878207,-0.185209,0.101044,-0.426629,0.961250,-0.180881,0.101083,-0.354152,0.956845,-0.001004,0.057157,-0.399607,0.726809,-0.039742,0.101274,-0.434364,0.941117,-0.218424,0.057533,-0.388623,-0.185077,0.101106,-0.426681,-0.180788,0.101047,-0.354011,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
646,6.460000,-0.000802,-0.008048,0.059238,-0.124931,0.083685,-0.400764,0.000127,-0.218650,0.057581,-0.388612,0.967429,-0.185034,0.101101,-0.426629,0.960061,-0.180626,0.100996,-0.354157,0.952638,-0.000767,0.057294,-0.399898,0.961568,-0.039576,0.101453,-0.434523,0.948420,-0.218528,0.057569,-0.388658,-0.185118,0.101203,-0.426718,-0.180746,0.101003,-0.354010,-0.000666,0.057397,-0.399951,-0.039596,0.101252,-0.434479
647,6.470000,-0.020973,0.011520,0.045694,-0.124941,0.083692,-0.400790,0.000111,-0.218671,0.057606,-0.388681,0.980728,-0.185032,0.101131,-0.426671,0.980575,-0.180649,0.101001,-0.354197,0.957675,-0.000784,0.057271,-0.399890,0.954260,-0.039571,0.101451,-0.434513,0.949094,-0.218657,0.057590,-0.388755,-0.185042,0.101199,-0.426706,-0.180744,0.101023,-0.354058,-0.000666,0.057397,-0.399951,-0.039596,0.101252,-0.434479
648,6.480000,-0.075262,0.129426,0.031447,-0.125143,0.083805,-0.400609,0.000558,-0.218891,0.057718,-0.388642,0.888761,-0.185205,0.101312,-0.426510,0.962204,-0.180891,0.101032,-0.354033,0.971698,-0.000994,0.057352,-0.399645,0.723932,-0.039737,0.101613,-0.434214,0.852600,-0.218489,0.057547,-0.388557,-0.185321,0.101404,-0.426543,-0.180781,0.101009,-0.354044,-0.002075,0.057283,-0.399430,-0.039214,0.101772,-0.434437
649,6.490000,-0.089786,-0.056813,0.059863,-0.125151,0.083556,-0.400712,0.000526,-0.218888,0.057461,-0.388684,0.866299,-0.185214,0.100949,-0.426685,0.941688,-0.180919,0.100906,-0.354206,0.959562,-0.000988,0.057166,-0.399631,0.722226,-0.039744,0.101296,-0.434353,0.938064,-0.218427,0.057196,-0.388733,-0.185082,0.101136,-0.426725,-0.180805,0.100941,-0.354096,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
650,6.500000,-0.095996,0.078752,0.027584,-0.125056,0.083773,-0.400699,0.000565,-0.218809,0.057702,-0.388743,0.948155,-0.185107,0.101261,-0.426638,0.958152,-0.180819,0.101044,-0.354159,0.943138,-0.000908,0.057311,-0.399668,0.702312,-0.039635,0.101544,-0.434290,0.863782,-0.218608,0.057683,-0.388698,-0.184980,0.101178,-0.426710,-0.180633,0.100952,-0.354065,-0.002075,0.057283,-0.399430,-0.039204,0.101758,-0.434545
651,6.510000,-0.068574,-0.089542,-0.001896,-0.125156,0.083650,-0.400678,0.000540,-0.218917,0.057664,-0.388600,0.948155,-0.185210,0.101093,-0.426639,0.958152,-0.180888,0.101087,-0.354161,0.943138,-0.001021,0.057128,-0.399627,0.702312,-0.039742,0.101279,-0.434361,0.863782,-0.218444,0.057649,-0.388575,-0.185075,0.101167,-0.426710,-0.180805,0.100941,-0.354096,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
652,6.520000,-0.062303,-0.127191,-0.008498,-0.125160,0.083666,-0.400664,0.000519,-0.218923,0.057699,-0.388559,0.881539,-0.185215,0.101099,-0.426630,0.957573,-0.180885,0.101141,-0.354153,0.954838,-0.001028,0.057130,-0.399610,0.729294,-0.039748,0.101263,-0.434368,0.940450,-0.218532,0.057666,-0.388528,-0.185037,0.101163,-0.426744,-0.180781,0.101009,-0.354044,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
653,6.530000,-0.060246,-0.104830,0.009096,-0.125137,0.083632,-0.400697,0.000523,-0.218891,0.057631,-0.388599,0.901655,-0.185198,0.101057,-0.426654,0.944856,-0.180865,0.101071,-0.354177,0.949956,-0.000997,0.057134,-0.399658,0.731854,-0.039731,0.101268,-0.434397,0.941274,-0.218424,0.057533,-0.388623,-0.185075,0.101167,-0.426710,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039585,0.101218,-0.434578
654,6.540000,-0.010888,-0.015788,0.064203,-0.124960,0.083653,-0.400796,0.000129,-0.218679,0.057543,-0.388658,0.880617,-0.185060,0.101060,-0.426674,0.956334,-0.180665,0.100966,-0.354201,0.955962,-0.000794,0.057273,-0.399905,0.722116,-0.039601,0.101424,-0.434543,0.940614,-0.218740,0.057481,-0.388700,-0.185075,0.101167,-0.426710,-0.180737,0.100986,-0.354090,-0.000666,0.057397,-0.399951,-0.039578,0.101239,-0.434529
655,6.550000,-0.060382,-0.120804,-0.007220,-0.125167,0.083648,-0.400686,0.000523,-0.218929,0.057677,-0.388581,0.975671,-0.185223,0.101083,-0.426648,0.971566,-0.180890,0.101116,-0.354171,0.966459,-0.001035,0.057115,-0.399639,0.954098,-0.039756,0.101251,-0.434391,0.953261,-0.218532,0.057666,-0.388528,-0.185037,0.101163,-0.426744,-0.180805,0.100941,-0.354096,-0.002075,0.057283,-0.399430,-0.039585,0.101218,-0.434578
656,6.560000,-0.095216,-0.024504,0.110083,-0.125006,0.083750,-0.400642,0.000556,-0.218722,0.057566,-0.388638,0.899932,-0.185082,0.101105,-0.426612,0.943955,-0.180793,0.101025,-0.354132,0.947742,-0.000820,0.057469,-0.399565,0.731475,-0.039612,0.101584,-0.434266,0.936133,-0.218320,0.057406,-0.388558,-0.185042,0.101199,-0.426706,-0.180703,0.100980,-0.354057,-0.001960,0.057385,-0.399289,-0.039204,0.101758,-0.434545
657,6.570000,-0.085936,-0.064310,-0.021507,-0.125179,0.083675,-0.400683,0.000490,-0.218953,0.057715,-0.388646,0.889965,-0.185219,0.101150,-0.426655,0.965176,-0.180919,0.101111,-0.354176,0.968733,-0.001054,0.057109,-0.399607,0.706020,-0.039749,0.101289,-0.434333,0.869040,-0.218608,0.057683,-0.388698,-0.185075,0.101167,-0.426710,-0.180744,0.101023,-0.354058,-0.002075,0.057283,-0.399430,-0.039596,0.101252,-0.434479
658,6.580000,-0.050523,-0.130857,-0.005870,-0.125133,0.083659,-0.400685,0.000532,-0.218892,0.057688,-0.388559,0.912403,-0.185194,0.101088,-0.426639,0.961088,-0.180849,0.101134,-0.354163,0.942925,-0.001000,0.057129,-0.399655,0.737453,-0.039729,0.101258,-0.434407,0.946213,-0.218433,0.057642,-0.388571,-0.185075,0.101167,-0.426710,-0.180707,0.101016,-0.354081,-0.002075,0.057283,-0.399430,-0.039585,0.101218,-0.434578
659,6.590000,-0.067463,-0.149836,0.014910,-0.125150,0.083636,-0.400694,0.000504,-0.218903,0.057635,-0.388587,0.884688,-0.185210,0.101034,-0.426672,0.960114,-0.180886,0.101106,-0.354194,0.949417,-0.001008,0.057151,-0.399618,0.722877,-0.039742,0.101254,-0.434397,0.943440,-0.218489,0.057547,-0.388557,-0.185070,0.101131,-0.426744,-0.180727,0.101011,-0.354164,-0.002075,0.057283,-0.399430,-0.039604,0.101232,-0.434527
660,6.600000,-0.085704,-0.175765,0.023802,-0.125172,0.083704,-0.400631,0.000468,-0.218925,0.057694,-0.388542,0.893844,-0.185226,0.101081,-0.426636,0.953948,-0.180926,0.101186,-0.354157,0.953013,-0.001026,0.057238,-0.399504,0.727150,-0.039756,0.101320,-0.434315,0.952266,-0.218532,0.057666,-0.388528,-0.185075,0.101167,-0.426710,-0.180837,0.101041,-0.354070,-0.001960,0.057385,-0.399289,-0.039614,0.101283,-0.434512
661,6.610000,-0.068719,-0.069415,0.011128,-0.125142,0.083651,-0.400682,0.000522,-0.218897,0.057639,-0.388614,0.901349,-0.185200,0.101089,-0.426637,0.952717,-0.180878,0.101059,-0.354159,0.952142,-0.001001,0.057156,-0.399641,0.757541,-0.039732,0.101311,-0.434359,0.938557,-0.218424,0.057533,-0.388623,-0.185042,0.101199,-0.426706,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039639,0.101276,-0.434510
662,6.620000,-0.098139,-0.131624,-0.014829,-0.125194,0.083719,-0.400634,0.000445,-0.218968,0.057762,-0.388586,0.878898,-0.185231,0.101156,-0.426639,0.948984,-0.180947,0.101203,-0.354159,0.956887,-0.001067,0.057169,-0.399500,0.724691,-0.039760,0.101303,-0.434286,0.954603,-0.218715,0.057817,-0.388603,-0.185075,0.101167,-0.426710,-0.180781,0.101009,-0.354044,-0.001960,0.057385,-0.399289,-0.039596,0.101252,-0.434479
663,6.630000,-0.074067,-0.084294,0.016887,-0.125144,0.083620,-0.400684,0.000531,-0.218898,0.057602,-0.388618,0.880432,-0.185201,0.101046,-0.426650,0.954202,-0.180886,0.101035,-0.354171,0.963605,-0.001001,0.057139,-0.399625,0.724774,-0.039733,0.101280,-0.434358,0.941437,-0.218424,0.057533,-0.388623,-0.185047,0.101133,-0.426696,-0.180805,0.100941,-0.354096,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
664,6.640000,-0.073859,-0.091818,0.014720,-0.125126,0.083635,-0.400663,0.000536,-0.218881,0.057622,-0.388593,0.883473,-0.185183,0.101059,-0.426630,0.946695,-0.180867,0.101058,-0.354152,0.951395,-0.000984,0.057148,-0.399600,0.722036,-0.039715,0.101287,-0.434339,0.953311,-0.218424,0.057533,-0.388623,-0.185009,0.101129,-0.426731,-0.180746,0.101003,-0.354010,-0.002075,0.057283,-0.399430,-0.039596,0.101252,-0.434479
665,6.650000,-0.046285,-0.141141,0.020926,-0.125122,0.083636,-0.400654,0.000545,-0.218868,0.057623,-0.388516,0.869344,-0.185193,0.101032,-0.426607,0.948158,-0.180843,0.101093,-0.354131,0.961105,-0.000977,0.057164,-0.399628,0.719544,-0.039729,0.101268,-0.434386,0.947579,-0.218359,0.057523,-0.388458,-0.185075,0.101167,-0.426710,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
666,6.660000,-0.064460,-0.095819,0.023405,-0.125185,0.083635,-0.400661,0.000486,-0.218934,0.057608,-0.388574,0.903728,-0.185248,0.101048,-0.426620,0.942771,-0.180921,0.101053,-0.354142,0.955833,-0.001038,0.057167,-0.399617,0.735209,-0.039781,0.101297,-0.434352,0.941978,-0.218581,0.057453,-0.388566,-0.185075,0.101167,-0.426710,-0.180781,0.101009,-0.354044,-0.002075,0.057283,-0.399430,-0.039614,0.101283,-0.434512
667,6.670000,-0.054617,-0.084288,-0.046780,-0.125214,0.083692,-0.400676,0.000469,-0.218993,0.057778,-0.388578,0.936447,-0.185261,0.101184,-0.426621,0.968786,-0.180922,0.101168,-0.354144,0.928788,-0.001101,0.057072,-0.399659,0.744399,-0.039795,0.101257,-0.434378,0.926945,-0.218745,0.057796,-0.388629,-0.185144,0.101186,-0.426664,-0.180711,0.101016,-0.354029,-0.002075,0.057283,-0.399430,-0.039585,0.101218,-0.434578
668,6.680000,-0.073566,-0.085442,-0.010572,-0.125217,0.083641,-0.400685,0.000454,-0.218984,0.057668,-0.388618,0.941654,-0.185267,0.101095,-0.426650,0.956500,-0.180951,0.101083,-0.354172,0.937888,-0.001087,0.057100,-0.399626,0.744180,-0.039798,0.101259,-0.434360,0.935508,-0.218762,0.057599,-0.388640,-0.185105,0.101140,-0.426694,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039604,0.101232,-0.434527
669,6.690000,-0.099962,-0.037697,-0.001391,-0.125212,0.083632,-0.400686,0.000478,-0.218980,0.057634,-0.388684,0.916644,-0.185252,0.101098,-0.426665,0.955850,-0.180970,0.101026,-0.354185,0.952234,-0.001078,0.057110,-0.399592,0.743923,-0.039781,0.101292,-0.434307,0.936151,-0.218657,0.057590,-0.388755,-0.185077,0.101106,-0.426681,-0.180850,0.100962,-0.354050,-0.002075,0.057283,-0.399430,-0.039596,0.101252,-0.434479
670,6.700000,-0.064170,-0.128972,-0.003532,-0.125141,0.083670,-0.400666,0.000538,-0.218902,0.057695,-0.388563,0.882011,-0.185197,0.101097,-0.426634,0.948710,-0.180869,0.101141,-0.354157,0.952189,-0.001008,0.057144,-0.399607,0.727407,-0.039730,0.101273,-0.434368,0.944011,-0.218433,0.057642,-0.388571,-0.185037,0.101163,-0.426744,-0.180788,0.101047,-0.354011,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
671,6.710000,-0.067902,-0.090913,-0.000317,-0.125153,0.083649,-0.400677,0.000542,-0.218914,0.057660,-0.388598,0.879597,-0.185209,0.101090,-0.426638,0.957340,-0.180885,0.101086,-0.354160,0.955531,-0.001018,0.057130,-0.399628,0.728663,-0.039741,0.101279,-0.434361,0.940779,-0.218433,0.057642,-0.388571,-0.185075,0.101167,-0.426710,-0.180805,0.100941,-0.354096,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
672,6.720000,0.010477,-0.129990,0.098087,-0.124946,0.083648,-0.400766,0.000153,-0.218645,0.057507,-0.388540,0.947977,-0.185066,0.100968,-0.426656,0.954764,-0.180644,0.101021,-0.354184,0.940042,-0.000764,0.057343,-0.399868,0.965216,-0.039610,0.101402,-0.434579,0.956689,-0.218591,0.057309,-0.388579,-0.185108,0.101135,-0.426709,-0.180788,0.101165,-0.354057,-0.000666,0.057397,-0.399951,-0.039578,0.101239,-0.434529
673,6.730000,-0.014498,-0.055852,-0.008601,-0.125177,0.083673,-0.400626,0.000533,-0.218930,0.057690,-0.388476,0.851236,-0.185253,0.101138,-0.426521,0.940706,-0.180863,0.101089,-0.354047,0.958079,-0.001045,0.057135,-0.399709,0.730656,-0.039793,0.101311,-0.434380,0.924577,-0.218359,0.057523,-0.388458,-0.185303,0.101370,-0.426519,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039585,0.101218,-0.434578
674,6.740000,-0.049941,0.007530,-0.008392,-0.125218,0.083680,-0.400623,0.000487,-0.218978,0.057684,-0.388559,0.860698,-0.185278,0.101174,-0.426535,0.941479,-0.180933,0.101045,-0.354059,0.962011,-0.001086,0.057142,-0.399658,0.743911,-0.039813,0.101356,-0.434304,0.925545,-0.218483,0.057433,-0.388608,-0.185321,0.101404,-0.426543,-0.180788,0.101047,-0.354011,-0.002075,0.057283,-0.399430,-0.039596,0.101252,-0.434479
675,6.750000,-0.074026,-0.108695,0.030649,-0.125167,0.083609,-0.400677,0.000524,-0.218915,0.057574,-0.388599,0.892699,-0.185229,0.101010,-0.426649,0.934203,-0.180913,0.101031,-0.354171,0.949057,-0.001018,0.057158,-0.399606,0.730293,-0.039760,0.101275,-0.434358,0.936859,-0.218558,0.057336,-0.388626,-0.185037,0.101163,-0.426744,-0.180788,0.101047,-0.354011,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
676,6.760000,-0.107019,0.044682,0.093999,-0.125096,0.083718,-0.400690,0.000549,-0.218821,0.057546,-0.388736,0.892699,-0.185162,0.101121,-0.426650,0.934203,-0.180888,0.100953,-0.354170,0.949057,-0.000918,0.057401,-0.399618,0.730293,-0.039689,0.101569,-0.434274,0.936859,-0.218401,0.057418,-0.388682,-0.185070,0.101131,-0.426744,-0.180850,0.100962,-0.354050,-0.002075,0.057283,-0.399430,-0.039296,0.101770,-0.434499
677,6.770000,-0.079220,-0.052306,0.012763,-0.125188,0.083630,-0.400720,0.000476,-0.218945,0.057611,-0.388677,0.889310,-0.185242,0.101074,-0.426681,0.967134,-0.180933,0.101022,-0.354203,0.968636,-0.001047,0.057138,-0.399664,0.705506,-0.039773,0.101302,-0.434376,0.876093,-0.218641,0.057462,-0.388741,-0.185075,0.101167,-0.426710,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039614,0.101276,-0.434575
678,6.780000,-0.083463,-0.063225,-0.037458,-0.125216,0.083685,-0.400672,0.000482,-0.218996,0.057751,-0.388631,0.913785,-0.185252,0.101177,-0.426641,0.951612,-0.180949,0.101135,-0.354162,0.942825,-0.001098,0.057085,-0.399602,0.734100,-0.039782,0.101276,-0.434325,0.936125,-0.218715,0.057817,-0.388603,-0.185075,0.101167,-0.426710,-0.180805,0.100941,-0.354096,-0.002075,0.057283,-0.399430,-0.039596,0.101252,-0.434479
679,6.790000,-0.096515,-0.136225,0.032701,-0.125138,0.083654,-0.400661,0.000478,-0.218889,0.057621,-0.388608,0.927529,-0.185190,0.101039,-0.426666,0.952347,-0.180903,0.101095,-0.354186,0.937289,-0.000988,0.057207,-0.399529,0.747207,-0.039719,0.101307,-0.434317,0.939215,-0.218578,0.057460,-0.388637,-0.185005,0.101195,-0.426740,-0.180744,0.101023,-0.354058,-0.001960,0.057385,-0.399289,-0.039578,0.101239,-0.434529
680,6.800000,-0.090190,-0.060187,-0.030952,-0.125191,0.083667,-0.400714,0.000473,-0.218970,0.057722,-0.388685,0.912124,-0.185226,0.101154,-0.426688,0.936692,-0.180931,0.101109,-0.354209,0.945919,-0.001070,0.057081,-0.399630,0.745708,-0.039756,0.101270,-0.434355,0.934303,-0.218702,0.057712,-0.388729,-0.185037,0.101163,-0.426744,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039604,0.101232,-0.434527
681,6.810000,0.031943,-0.105808,0.083250,-0.124899,0.083657,-0.400753,0.000176,-0.218601,0.057535,-0.388503,0.932018,-0.185025,0.101004,-0.426614,0.950670,-0.180576,0.101025,-0.354144,0.935368,-0.000724,0.057320,-0.399914,0.739042,-0.039572,0.101403,-0.434591,0.941968,-0.218359,0.057523,-0.388458,-0.185075,0.101167,-0.426710,-0.180813,0.100977,-0.354065,-0.000666,0.057397,-0.399951,-0.039585,0.101218,-0.434578
682,6.820000,-0.081279,-0.128748,0.033259,-0.125141,0.083659,-0.400649,0.000488,-0.218889,0.057623,-0.388575,0.938371,-0.185200,0.101047,-0.426636,0.950904,-0.180894,0.101094,-0.354157,0.936259,-0.000990,0.057213,-0.399554,0.974082,-0.039731,0.101317,-0.434326,0.953444,-0.218424,0.057533,-0.388623,-0.185144,0.101186,-0.426664,-0.180737,0.100986,-0.354090,-0.001960,0.057385,-0.399289,-0.039604,0.101232,-0.434527
683,6.830000,-0.068401,-0.094031,0.049290,-0.125078,0.083594,-0.400691,0.000570,-0.218816,0.057525,-0.388611,0.881132,-0.185148,0.100981,-0.426653,0.962000,-0.180826,0.100985,-0.354175,0.949757,-0.000920,0.057182,-0.399639,0.744970,-0.039681,0.101296,-0.434376,0.936897,-0.218224,0.057276,-0.388613,-0.185005,0.101195,-0.426740,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
684,6.840000,-0.059413,-0.093639,-0.007343,-0.125137,0.083663,-0.400670,0.000532,-0.218899,0.057686,-0.388576,0.839511,-0.185194,0.101109,-0.426623,0.931995,-0.180860,0.101108,-0.354146,0.969369,-0.001005,0.057128,-0.399638,0.705620,-0.039727,0.101281,-0.434368,0.951759,-0.218433,0.057642,-0.388571,-0.185070,0.101192,-0.426681,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
685,6.850000,-0.072092,-0.076719,0.002497,-0.125171,0.083628,-0.400704,0.000507,-0.218931,0.057632,-0.388638,0.883123,-0.185225,0.101072,-0.426665,0.960086,-0.180907,0.101051,-0.354187,0.954552,-0.001034,0.057115,-0.399652,0.724869,-0.039757,0.101271,-0.434378,0.944230,-0.218517,0.057562,-0.388654,-0.185075,0.101167,-0.426710,-0.180805,0.100941,-0.354096,-0.002075,0.057283,-0.399430,-0.039585,0.101218,-0.434578
686,6.860000,-0.063347,-0.107500,-0.042911,-0.125209,0.083692,-0.400683,0.000481,-0.218987,0.057776,-0.388588,0.895148,-0.185253,0.101169,-0.426644,0.954256,-0.180924,0.101183,-0.354166,0.956143,-0.001093,0.057080,-0.399635,0.730766,-0.039786,0.101249,-0.434379,0.932919,-0.218715,0.057817,-0.388603,-0.185075,0.101167,-0.426710,-0.180781,0.101009,-0.354044,-0.002075,0.057283,-0.399430,-0.039585,0.101218,-0.434578
687,6.870000,-0.066519,-0.117037,0.017212,-0.125162,0.083625,-0.400675,0.000500,-0.218914,0.057613,-0.388581,0.931091,-0.185223,0.101035,-0.426642,0.952588,-0.180898,0.101066,-0.354164,0.935816,-0.001019,0.057144,-0.399616,0.744268,-0.039756,0.101266,-0.434369,0.929036,-0.218581,0.057453,-0.388566,-0.185037,0.101163,-0.426744,-0.180750,0.101012,-0.354061,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
688,6.880000,-0.074445,-0.078507,0.023720,-0.125155,0.083597,-0.400706,0.000506,-0.218906,0.057567,-0.388643,0.888544,-0.185215,0.101019,-0.426670,0.948754,-0.180900,0.101001,-0.354192,0.962994,-0.001009,0.057130,-0.399649,0.725467,-0.039746,0.101271,-0.434378,0.934401,-0.218480,0.057441,-0.388680,-0.185047,0.101133,-0.426696,-0.180805,0.100941,-0.354096,-0.002075,0.057283,-0.399430,-0.039585,0.101218,-0.434578
689,6.890000,-0.104231,-0.096564,0.014767,-0.125221,0.083692,-0.400640,0.000420,-0.218982,0.057680,-0.388617,0.941087,-0.185264,0.101115,-0.426640,0.953177,-0.180987,0.101119,-0.354160,0.934820,-0.001079,0.057206,-0.399509,0.768607,-0.039792,0.101342,-0.434272,0.936886,-0.218762,0.057599,-0.388640,-0.185118,0.101203,-0.426718,-0.180781,0.101009,-0.354044,-0.001960,0.057385,-0.399289,-0.039632,0.101296,-0.434462
690,6.900000,-0.072602,-0.121036,-0.018992,-0.125235,0.083688,-0.400699,0.000448,-0.219005,0.057737,-0.388614,0.940027,-0.185283,0.101135,-0.426674,0.946693,-0.180966,0.101168,-0.354196,0.949448,-0.001109,0.057129,-0.399625,0.750753,-0.039814,0.101273,-0.434386,0.931236,-0.218768,0.057715,-0.388587,-0.185075,0.101167,-0.426710,-0.180829,0.101027,-0.354148,-0.002075,0.057283,-0.399430,-0.039614,0.101276,-0.434575
691,6.910000,-0.087400,-0.157087,0.018845,-0.125156,0.083675,-0.400632,0.000490,-0.218912,0.057669,-0.388554,0.907506,-0.185208,0.101066,-0.426633,0.944040,-0.180909,0.101147,-0.354154,0.944928,-0.001012,0.057198,-0.399510,0.752205,-0.039738,0.101295,-0.434308,0.930429,-0.218542,0.057674,-0.388532,-0.185013,0.101146,-0.426709,-0.180850,0.100962,-0.354050,-0.001960,0.057385,-0.399289,-0.039578,0.101239,-0.434529
692,6.920000,-0.048065,-0.095158,0.023510,-0.125155,0.083626,-0.400699,0.000496,-0.218901,0.057599,-0.388585,0.887463,-0.185226,0.101039,-0.426640,0.944443,-0.180878,0.101043,-0.354164,0.957824,-0.001009,0.057158,-0.399691,0.723921,-0.039762,0.101289,-0.434414,0.936490,-0.218483,0.057433,-0.388608,-0.185070,0.101192,-0.426681,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039622,0.101255,-0.434624
