,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,"robotdiff_CENT...:Marker1","robotdiff_CENT...:Marker1","robotdiff_CENT...:Marker1","robotdiff_CENT...:Marker1","robotdiff_CENT...:Marker2","robotdiff_CENT...:Marker2","robotdiff_CENT...:Marker2","robotdiff_CENT...:Marker2","robotdiff_CENT...:Marker3","robotdiff_CENT...:Marker3","robotdiff_CENT...:Marker3","robotdiff_CENT...:Marker3","robotdiff_CENT...:Marker4","robotdiff_CENT...:Marker4","robotdiff_CENT...:Marker4","robotdiff_CENT...:Marker4","robotdiff_CENT...:Marker5","robotdiff_CENT...:Marker5","robotdiff_CENT...:Marker5","robotdiff_CENT...:Marker5",robotdiff_CENT...:Marker1,robotdiff_CENT...:Marker1,robotdiff_CENT...:Marker1,robotdiff_CENT...:Marker2,robotdiff_CENT...:Marker2,robotdiff_CENT...:Marker2,robotdiff_CENT...:Marker3,robotdiff_CENT...:Marker3,robotdiff_CENT...:Marker3,robotdiff_CENT...:Marker4,robotdiff_CENT...:Marker4,robotdiff_CENT...:Marker4,robotdiff_CENT...:Marker5,robotdiff_CENT...:Marker5,robotdiff_CENT...:Marker5
,ID,"BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","C42B0","C42B0","C42B0","C4830","C4830","C4830","C4970","C4970","C4970","C49C0","C49C0","C49C0","C4A20","C4A20","C4A20"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6,0.060000,-0.079168,-0.080050,0.023145,-0.125147,0.083615,-0.400677,0.000498,-0.218899,0.057586,-0.388621,0.915817,-0.185204,0.101036,-0.426646,0.919712,-0.180896,0.101020,-0.354168,0.917238,-0.001002,0.057147,-0.399608,0.733774,-0.039735,0.101287,-0.434341,0.964719,-0.218504,0.057447,-0.388647,-0.185047,0.101133,-0.426696,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039596,0.101252,-0.434479
7,0.070000,-0.055357,-0.120060,0.033728,-0.125102,0.083615,-0.400691,0.000554,-0.218844,0.057577,-0.388577,0.895009,-0.185173,0.101007,-0.426647,0.952073,-0.180834,0.101042,-0.354170,0.955146,-0.000951,0.057170,-0.399655,0.725944,-0.039707,0.101279,-0.434403,0.950304,-0.218248,0.057397,-0.388625,-0.185075,0.101167,-0.426710,-0.180744,0.101023,-0.354058,-0.002075,0.057283,-0.399430,-0.039585,0.101218,-0.434578
8,0.080000,-0.088526,-0.100332,0.032700,-0.125145,0.083622,-0.400693,0.000510,-0.218895,0.057581,-0.388643,0.843953,-0.185201,0.101024,-0.426678,0.950398,-0.180904,0.101034,-0.354199,0.963764,-0.000995,0.057174,-0.399595,0.712101,-0.039731,0.101296,-0.434350,0.944616,-0.218461,0.057316,-0.388667,-0.185042,0.101199,-0.426706,-0.180768,0.101073,-0.354145,-0.002075,0.057283,-0.399430,-0.039596,0.101252,-0.434479
9,0.090000,-0.062265,-0.057040,-0.006956,-0.125139,0.083666,-0.400671,0.000517,-0.218901,0.057681,-0.388598,0.872771,-0.185194,0.101129,-0.426616,0.940393,-0.180864,0.101081,-0.354139,0.962122,-0.001007,0.057132,-0.399650,0.725716,-0.039728,0.101306,-0.434354,0.952094,-0.218424,0.057533,-0.388623,-0.185084,0.101276,-0.426666,-0.180744,0.101023,-0.354058,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
10,0.100000,-0.088641,-0.115081,-0.014420,-0.125168,0.083673,-0.400711,0.000491,-0.218939,0.057712,-0.388655,0.875066,-0.185209,0.101118,-0.426701,0.952182,-0.180912,0.101143,-0.354222,0.961018,-0.001040,0.057124,-0.399605,0.724817,-0.039739,0.101268,-0.434372,0.940122,-0.218580,0.057668,-0.388713,-0.185047,0.101133,-0.426696,-0.180768,0.101073,-0.354145,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
11,0.110000,-0.077808,-0.083301,-0.001144,-0.125183,0.083632,-0.400691,0.000468,-0.218946,0.057643,-0.388632,0.908301,-0.185233,0.101077,-0.426660,0.959230,-0.180923,0.101064,-0.354182,0.955571,-0.001049,0.057111,-0.399624,0.734600,-0.039764,0.101266,-0.434359,0.943405,-0.218659,0.057582,-0.388682,-0.185077,0.101106,-0.426681,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
12,0.120000,-0.104997,-0.172165,0.056588,-0.125167,0.083642,-0.400640,0.000462,-0.218910,0.057577,-0.388585,0.925698,-0.185223,0.100986,-0.426665,0.959872,-0.180946,0.101089,-0.354184,0.944745,-0.001006,0.057247,-0.399473,0.735432,-0.039750,0.101309,-0.434295,0.936629,-0.218526,0.057413,-0.388595,-0.185047,0.101133,-0.426696,-0.180874,0.101048,-0.354103,-0.001960,0.057385,-0.399289,-0.039596,0.101252,-0.434479
13,0.130000,-0.025895,-0.019596,0.017065,-0.125187,0.083643,-0.400630,0.000517,-0.218930,0.057610,-0.388515,0.824955,-0.185266,0.101098,-0.426525,0.926475,-0.180890,0.101005,-0.354051,0.970734,-0.001043,0.057160,-0.399705,0.731265,-0.039804,0.101341,-0.434356,0.916196,-0.218312,0.057296,-0.388609,-0.185347,0.101376,-0.426475,-0.180788,0.101047,-0.354011,-0.002075,0.057283,-0.399430,-0.039585,0.101218,-0.434578
14,0.140000,-0.053363,-0.130903,0.004461,-0.125185,0.083650,-0.400673,0.000505,-0.218940,0.057662,-0.388552,0.891397,-0.185248,0.101067,-0.426631,0.958481,-0.180907,0.101114,-0.354154,0.950648,-0.001047,0.057142,-0.399637,0.735683,-0.039782,0.101264,-0.434391,0.931252,-0.218520,0.057555,-0.388582,-0.185151,0.101171,-0.426717,-0.180788,0.101047,-0.354011,-0.002075,0.057283,-0.399430,-0.039585,0.101218,-0.434578
15,0.150000,-0.089289,-0.073367,-0.008605,-0.125181,0.083654,-0.400687,0.000485,-0.218950,0.057675,-0.388651,0.923313,-0.185224,0.101112,-0.426665,0.947572,-0.180928,0.101085,-0.354185,0.941986,-0.001051,0.057117,-0.399599,0.737204,-0.039754,0.101282,-0.434334,0.945943,-0.218659,0.057582,-0.388682,-0.185037,0.101163,-0.426744,-0.180744,0.101023,-0.354058,-0.002075,0.057283,-0.399430,-0.039596,0.101252,-0.434479
16,0.160000,-0.001663,-0.013164,0.050317,-0.124965,0.083669,-0.400779,0.000123,-0.218688,0.057581,-0.388626,0.980767,-0.185065,0.101092,-0.426646,0.975197,-0.180658,0.100993,-0.354174,0.963725,-0.000805,0.057258,-0.399909,0.949851,-0.039607,0.101421,-0.434538,0.953978,-0.218762,0.057599,-0.388640,-0.185075,0.101167,-0.426710,-0.180740,0.100946,-0.354064,-0.000666,0.057397,-0.399951,-0.039578,0.101239,-0.434529
17,0.170000,-0.064892,-0.088912,-0.030829,-0.125239,0.083699,-0.400688,0.000479,-0.219013,0.057760,-0.388604,0.924182,-0.185286,0.101173,-0.426645,0.961582,-0.180960,0.101164,-0.354167,0.935377,-0.001118,0.057114,-0.399646,0.751332,-0.039819,0.101285,-0.434376,0.928655,-0.218715,0.057817,-0.388603,-0.185151,0.101171,-0.426717,-0.180813,0.100977,-0.354065,-0.002075,0.057283,-0.399430,-0.039614,0.101276,-0.434575
18,0.180000,-0.103794,-0.046049,0.118973,-0.125042,0.083769,-0.400643,0.000533,-0.218756,0.057576,-0.388643,0.888386,-0.185117,0.101105,-0.426628,0.961832,-0.180839,0.101054,-0.354148,0.963506,-0.000853,0.057508,-0.399537,0.714511,-0.039645,0.101604,-0.434261,0.873484,-0.218341,0.057420,-0.388586,-0.185037,0.101163,-0.426744,-0.180788,0.101047,-0.354011,-0.001960,0.057385,-0.399289,-0.039270,0.101805,-0.434535
19,0.190000,-0.071939,-0.102053,-0.001053,-0.125137,0.083660,-0.400671,0.000534,-0.218898,0.057675,-0.388593,0.883329,-0.185190,0.101096,-0.426639,0.954084,-0.180872,0.101107,-0.354161,0.951514,-0.001002,0.057140,-0.399608,0.725869,-0.039722,0.101283,-0.434353,0.954879,-0.218433,0.057642,-0.388571,-0.185052,0.101164,-0.426741,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039596,0.101252,-0.434479
20,0.200000,-0.080490,-0.043749,-0.001970,-0.125109,0.083651,-0.400688,0.000527,-0.218873,0.057655,-0.388651,0.882870,-0.185158,0.101114,-0.426648,0.951485,-0.180851,0.101051,-0.354169,0.947263,-0.000975,0.057127,-0.399634,0.717815,-0.039689,0.101306,-0.434340,0.955964,-0.218421,0.057541,-0.388696,-0.185008,0.101212,-0.426723,-0.180676,0.100997,-0.354066,-0.002075,0.057283,-0.399430,-0.039596,0.101252,-0.434479
21,0.210000,-0.050480,0.004739,-0.024512,-0.125209,0.083720,-0.400681,0.000513,-0.218977,0.057751,-0.388616,0.853150,-0.185265,0.101229,-0.426594,0.941601,-0.180920,0.101102,-0.354118,0.960747,-0.001085,0.057147,-0.399713,0.740401,-0.039799,0.101370,-0.434362,0.925659,-0.218432,0.057548,-0.388700,-0.185320,0.101437,-0.426502,-0.180768,0.101073,-0.354145,-0.002075,0.057283,-0.399430,-0.039614,0.101276,-0.434575
22,0.220000,-0.091386,-0.010124,0.048878,-0.125140,0.083593,-0.400692,0.000521,-0.218883,0.057507,-0.388687,0.859298,-0.185199,0.101019,-0.426652,0.949497,-0.180906,0.100917,-0.354173,0.956039,-0.000982,0.057180,-0.399629,0.721283,-0.039729,0.101344,-0.434316,0.954600,-0.218363,0.057299,-0.388748,-0.185075,0.101167,-0.426710,-0.180770,0.100935,-0.354063,-0.002075,0.057283,-0.399430,-0.039632,0.101296,-0.434462
23,0.230000,-0.067616,-0.093600,0.015370,-0.125151,0.083620,-0.400710,0.000509,-0.218905,0.057606,-0.388629,0.888971,-0.185211,0.101043,-0.426671,0.945113,-0.180888,0.101043,-0.354193,0.952195,-0.001009,0.057135,-0.399660,0.724993,-0.039744,0.101272,-0.434396,0.938141,-0.218493,0.057440,-0.388643,-0.185080,0.101198,-0.426753,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039585,0.101218,-0.434578
