type,tricyc,
ngear,1,
encRes,1600,
Li,0.15,
Di,0.065,
Thi,0,
N,2,
L,,
imarkers,5,1
gt_ti,4.86,8.47
gt_tf,190.6,203.2
odo_ti,0,0
odo_tf,147.7,156.25
