type,omni3,,,
ngear,12,,,
encRes,1024,,,
Li,0.195,,,
Di,0.102,0.102,0.102,
Thi,,,,
N,4,,,
L,,,,
imarkers,4,1,3,
gt_ti,4.25,3.5,4.23,2.03
gt_tf,92.6,91.78,92.56,92.3
odo_ti,0,0,0,0
odo_tf,86.5999999999999,86.48,86.6399999999999,88.5599999999999
