type,diff,,,,,
ngear,43.7,,,,,
encRes,64,,,,,
Li,0.205,,,,,
Di,0.085,0.085,,,,
Thi,,,,,,
N,6,,,,,
L,0.75,,,,,
imarkers,2,5,,,,
gt_ti,3.04,2.9,3.22,3.8,3.17,4.93
gt_tf,95.15,95.07,95.46,95.91,95.85,97.25
odo_ti,0,0,0,0,0,0
odo_tf,90,90.05,90.1,90,90.5,90.1999999999999
