type,omni3,,,
ngear,12,,,
encRes,1024,,,
Li,0.195,,,
Di,0.102,0.102,0.102,
Thi,,,,
N,4,,,
L,,,,
imarkers,4,1,3,
gt_ti,5.25,4.34,7.93,2.82
gt_tf,65.38,64.04,67.79,64.61
odo_ti,0,0,0,0
odo_tf,58.96,58.6,58.84,60.64
