type,tricyc,
ngear,1,
encRes,1600,
Li,0.15,
Di,0.065,
Thi,0,
N,2,
L,,
imarkers,5,1
gt_ti,10.15,4.61
gt_tf,127.3,125.9
odo_ti,0,0
odo_tf,94.0500000000002,97.6999999999998
