2685.68,0,0,0
2685.72,6,13,-32
2685.76,5,12,-22
2685.8,1,8,-31
2685.84,2,10,-37
2685.88,8,20,-43
2685.92,18,28,-30
2685.96,18,32,-42
2686,20,42,-48
2686.04,24,39,-54
2686.08,28,44,-65
2686.12,38,41,-74
2686.16,46,56,-97
2686.2,63,59,-128
2686.24,80,72,-143
2686.28,101,95,-172
2686.32,111,116,-193
2686.36,120,118,-231
2686.4,160,123,-238
2686.44,142,167,-247
2686.48,158,143,-333
2686.52,156,161,-271
2686.56,148,158,-295
2686.6,139,159,-299
2686.64,141,150,-299
2686.68,130,176,-297
2686.72,147,162,-297
2686.76,157,168,-287
2686.8,171,171,-295
2686.84,192,144,-321
2686.88,148,186,-313
2686.92,160,147,-361
2686.96,161,141,-290
2687,144,146,-305
2687.04,134,128,-324
2687.08,129,144,-306
2687.12,162,145,-295
2687.16,162,161,-298
2687.2,162,150,-321
2687.24,210,170,-398
2687.28,163,147,-319
2687.32,185,159,-233
2687.36,168,170,-389
2687.4,164,151,-337
2687.44,158,141,-331
2687.48,168,142,-329
2687.52,158,136,-315
2687.56,183,152,-331
2687.6,150,185,-306
2687.64,165,147,-385
2687.68,181,154,-306
2687.72,170,159,-306
2687.76,150,171,-291
2687.8,159,160,-297
2687.84,155,167,-309
2687.88,176,145,-322
2687.92,166,151,-311
2687.96,165,163,-315
2688,203,165,-310
2688.04,121,158,-339
2688.08,174,154,-322
2688.12,176,159,-320
2688.16,154,177,-334
2688.2,199,149,-355
2688.24,148,183,-344
2688.28,151,134,-437
2688.32,145,133,-323
2688.36,128,155,-335
2688.4,132,127,-343
2688.44,123,154,-332
2688.48,161,145,-313
2688.52,139,169,-320
2688.56,143,161,-340
2688.6,139,155,-329
2688.64,189,169,-343
2688.68,165,198,-315
2688.72,158,168,-422
2688.76,177,153,-318
2688.8,171,175,-319
2688.84,183,174,-317
2688.88,172,169,-241
2688.92,163,184,-398
2688.96,175,180,-317
2689,167,192,-321
2689.04,180,173,-329
2689.08,166,175,-314
2689.12,172,164,-310
2689.16,154,161,-308
2689.2,158,156,-330
2689.24,163,146,-301
2689.28,185,154,-295
2689.32,113,151,-291
2689.36,143,137,-313
2689.4,139,133,-303
2689.44,165,140,-297
2689.48,204,206,-284
2689.52,168,173,-352
2689.56,165,152,-308
2689.6,158,141,-308
2689.64,163,146,-294
2689.68,143,147,-289
2689.72,132,142,-300
2689.76,133,133,-288
2689.8,137,143,-281
2689.84,150,151,-269
2689.88,152,149,-275
2689.92,181,161,-261
2689.96,146,195,-256
2690,196,146,-341
2690.04,154,179,-268
2690.08,150,131,-352
2690.12,137,123,-271
2690.16,127,89,-200
2690.2,129,153,-284
2690.24,134,132,-385
2690.28,158,128,-282
2690.32,165,150,-293
2690.36,153,175,-293
2690.4,154,148,-311
2690.44,151,141,-311
2690.48,160,134,-319
2690.52,148,145,-311
2690.56,143,161,-342
2690.6,165,148,-327
2690.64,204,190,-326
2690.68,184,134,-403
2690.72,159,147,-321
2690.76,110,107,-250
2690.8,188,142,-307
2690.84,163,187,-303
2690.88,165,150,-380
2690.92,137,146,-315
2690.96,134,153,-303
2691,147,146,-302
2691.04,157,161,-311
2691.08,176,137,-330
2691.12,159,134,-318
2691.16,153,131,-322
2691.2,140,141,-306
2691.24,176,148,-333
2691.28,150,167,-309
2691.32,103,100,-318
2691.36,133,150,-318
2691.4,144,148,-324
2691.44,181,171,-306
2691.48,168,208,-300
2691.52,150,152,-373
2691.56,150,138,-317
2691.6,136,141,-296
2691.64,152,147,-296
2691.68,148,152,-288
2691.72,139,146,-316
2691.76,138,141,-294
2691.8,148,151,-305
2691.84,146,178,-296
2691.88,221,175,-311
2691.92,174,199,-303
2691.96,128,115,-294
2692,161,165,-295
2692.04,149,167,-318
2692.08,212,166,-302
2692.12,160,207,-302
2692.16,157,174,-384
2692.2,149,196,-299
2692.24,156,195,-314
2692.28,182,171,-314
2692.32,179,159,-317
2692.36,196,203,-402
2692.4,154,163,-323
2692.44,152,151,-337
2692.48,155,140,-322
2692.52,149,150,-310
2692.56,135,173,-321
2692.6,143,164,-308
2692.64,169,166,-316
2692.68,181,154,-308
2692.72,167,158,-331
2692.76,166,171,-308
2692.8,210,158,-301
2692.84,185,193,-315
2692.88,122,116,-320
2692.92,155,155,-309
2692.96,152,156,-304
2693,184,190,-296
2693.04,152,159,-378
2693.08,152,143,-299
2693.12,139,158,-286
2693.16,151,161,-282
2693.2,152,173,-286
2693.24,153,154,-300
2693.28,142,146,-283
2693.32,129,137,-284
2693.36,104,144,-280
2693.4,96,120,-280
2693.44,126,138,-331
2693.48,120,102,-252
2693.52,121,106,-235
2693.56,115,108,-242
2693.6,111,121,-220
2693.64,120,123,-222
2693.68,142,121,-227
2693.72,121,137,-238
2693.76,125,104,-286
2693.8,119,96,-232
2693.84,104,99,-232
2693.88,93,107,-240
2693.92,88,102,-244
2693.96,110,124,-169
2694,136,125,-142
2694.04,118,105,-111
