type,omni3,,,
ngear,12,,,
encRes,1024,,,
Li,0.195,,,
Di,0.102,0.102,0.102,
Thi,,,,
N,4,,,
L,,,,
imarkers,4,1,3,
gt_ti,2.67,5.79,5.99,8.47
gt_tf,48.06,50.87,51.88,56.13
odo_ti,0,0,0,0
odo_tf,44.6800000000003,44.2800000000002,45.04,46.7600000000002
