type,diff,,,,,,,,,,,,,,
ngear,43.7,,,,,,,,,,,,,,
encRes,64,,,,,,,,,,,,,,
Li,0.2,,,,,,,,,,,,,,
Di,0.084,0.084,,,,,,,,,,,,,
Thi,,,,,,,,,,,,,,,
N,15,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,
imarkers,4,2,,,,,,,,,,,,,
gt_ti,4.9,3.21,4.13,3.01,3.01,3.1,4.04,3.72,3,4.26,2.79,3.02,3.46,4.02,2.96
gt_tf,38.94,36.99,37.8,36.99,37.12,14.82,15.4,15.06,14.37,15.78,14.91,14.4,14.75,15.47,14.34
odo_ti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
odo_tf,33.3,33.2,33.1,33.15,33.35,11.5,11.15,11.15,11.2,11.3,11.95,11.15,11.1,11.25,11.2
