Format Version,1.23,Take Name,ivankjo_25jun2020_4_(7),Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2020-06-25 04.33.04.816 ,Total Frames in Take,1790,Total Exported Frames,1790,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3
,ID,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,CFCA0,CFCA0,CFCA0,CF8C0,CF8C0,CF8C0,CF300,CF300,CF300
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
0,0,139.191803,-0.376948,0.92415,-0.149028,0.091836,-0.539323,0.000934,-0.053393,0.092016,-0.563089,0.821213,-0.197287,0.091779,-0.563332,0.939968,-0.196404,0.091713,-0.491548,0.834116,-0.052725,0.092018,-0.563345,-0.197437,0.091778,-0.56352,-0.196889,0.091712,-0.491095
1,0.01,139.180389,-0.379421,0.950896,-0.149036,0.091837,-0.539322,0.000915,-0.053397,0.091994,-0.56307,0.829674,-0.197291,0.091803,-0.563341,0.937428,-0.196422,0.091713,-0.491556,0.835809,-0.052761,0.091995,-0.563314,-0.197435,0.091803,-0.563545,-0.196889,0.091712,-0.491095
2,0.02,139.232376,-0.517669,0.791606,-0.148885,0.092014,-0.539395,0.001336,-0.053268,0.092524,-0.563227,0.702416,-0.197161,0.091803,-0.563371,0.924533,-0.196228,0.091716,-0.491587,0.793912,-0.052147,0.09253,-0.563627,-0.197431,0.091802,-0.563506,-0.196889,0.091712,-0.491095
3,0.03,139.158905,-0.392001,0.933925,-0.149012,0.091853,-0.539344,0.000972,-0.053363,0.092045,-0.563056,0.702416,-0.197257,0.091801,-0.563381,0.924533,-0.196415,0.091713,-0.491596,0.793912,-0.0527,0.092046,-0.563303,-0.197422,0.091801,-0.563619,-0.196889,0.091712,-0.491095
4,0.04,139.193222,-0.407061,0.963869,-0.148998,0.091829,-0.539364,0.000939,-0.053364,0.092013,-0.563133,0.823138,-0.197258,0.091801,-0.563372,0.927769,-0.196373,0.091675,-0.491588,0.827509,-0.052686,0.092014,-0.563406,-0.197386,0.091801,-0.563543,-0.196888,0.091673,-0.491136
5,0.05,139.146408,-0.661407,1.166141,-0.149018,0.091653,-0.539417,0.000716,-0.053366,0.091993,-0.563109,0.840319,-0.197259,0.091749,-0.563462,0.954214,-0.19643,0.091216,-0.491679,0.888249,-0.052761,0.091995,-0.563314,-0.197436,0.091749,-0.563512,-0.196806,0.091214,-0.491438
6,0.06,139.163345,-0.431837,1.003053,-0.14902,0.091831,-0.53936,0.00096,-0.053374,0.09201,-0.56308,0.825343,-0.197268,0.091832,-0.563393,0.940005,-0.19642,0.09165,-0.491608,0.813804,-0.052732,0.092012,-0.563355,-0.197365,0.091833,-0.563613,-0.196954,0.091648,-0.491089
7,0.07,139.161438,-0.438145,0.949703,-0.149011,0.091736,-0.539323,0.000866,-0.053364,0.091977,-0.563039,0.825343,-0.197258,0.091688,-0.563358,0.940005,-0.196413,0.091544,-0.491573,0.813804,-0.052732,0.091979,-0.563344,-0.197289,0.091688,-0.563466,-0.196995,0.091542,-0.491153
8,0.08,139.177185,-0.384992,0.943518,-0.149008,0.091844,-0.539347,0.00094,-0.053367,0.092016,-0.563089,0.824528,-0.197261,0.091802,-0.563369,0.971729,-0.196396,0.091713,-0.491584,0.820541,-0.052725,0.092018,-0.563345,-0.19739,0.091802,-0.563584,-0.196889,0.091712,-0.491095
9,0.09,139.168579,-0.364655,0.879289,-0.149002,0.091786,-0.539332,0.000859,-0.053357,0.091994,-0.563059,0.83789,-0.197251,0.091691,-0.563361,0.951508,-0.196397,0.091674,-0.491576,0.835054,-0.052761,0.091995,-0.563314,-0.19734,0.091691,-0.563533,-0.196888,0.091673,-0.491136
10,0.1,139.17511,-0.405353,0.964431,-0.149027,0.091827,-0.539359,0.000914,-0.053385,0.092008,-0.563098,0.829775,-0.197279,0.0918,-0.563382,0.938492,-0.196417,0.091674,-0.491598,0.835014,-0.052751,0.092009,-0.563344,-0.197419,0.0918,-0.563585,-0.196888,0.091673,-0.491136
11,0.11,139.122162,-0.69762,1.253488,-0.148981,0.091689,-0.539452,0.000716,-0.053318,0.091993,-0.563105,0.829775,-0.197212,0.091857,-0.563517,0.938492,-0.196412,0.091217,-0.491734,0.835014,-0.052761,0.091995,-0.563314,-0.197341,0.091857,-0.563608,-0.196806,0.091214,-0.491438
12,0.12,139.160812,-0.408325,0.999131,-0.149011,0.091828,-0.539382,0.000939,-0.053364,0.091978,-0.563097,0.851197,-0.197258,0.091832,-0.563417,0.960322,-0.196413,0.091675,-0.491632,0.876676,-0.052732,0.091979,-0.563344,-0.197396,0.091832,-0.563648,-0.196888,0.091673,-0.491136
