type,omni3,,,
ngear,12,,,
encRes,1024,,,
Li,0.195,,,
Di,0.102,0.102,0.102,
Thi,,,,
N,4,,,
L,,,,
imarkers,4,1,3,
gt_ti,4.3,3.55,3.17,2.65
gt_tf,35.95,35,34.72,35.95
odo_ti,0,0,0,0
odo_tf,31.0799999999999,30.8800000000001,30.8800000000001,32.7199999999998
