type,omni4,,,
ngear,1,,,
encRes,1,,,
Li,0.2,0.2,,
Di,0.06,0.06,0.06,0.06
Thi,,,,
N,4,,,
L,,,,
imarkers,5,1,3,8
gt_ti,2.78,3.46,3.05,3.9
gt_tf,95.68,96.57,96.19,97.63
odo_ti,0,0,0,0
odo_tf,87.34,87.44,87.48,87.97
