Format Version,1.23,Take Name,robotatfactory_08-09-2020_CENTRE,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-09-08 11.01.57.638 ,Total Frames in Take,3133,Total Exported Frames,3133,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,-0.032648,-0.086355,-0.015136,-0.158764,0.082248,0.354846,0.000423,-0.324108,0.039862,0.282680,0.936001,-0.194602,0.126534,0.470295,0.942412,-0.011317,0.039804,0.378972,0.899067,-0.231376,0.124881,0.373228,0.944053,-0.083319,0.040126,0.188504,0.897716,-0.116232,0.122561,0.255049,0.928330,-0.056607,0.125594,0.418343,0.975191,-0.252552,0.038621,0.471697,0.945479,-0.324417,0.040021,0.282919,-0.194659,0.126368,0.470309,-0.011351,0.040055,0.378730,-0.231487,0.124914,0.373175,-0.082600,0.039020,0.187924,-0.116212,0.123208,0.255672,-0.056589,0.125624,0.418360,-0.252644,0.038601,0.471637
7,0.070000,-0.045860,-0.060584,0.005990,-0.158731,0.082267,0.354859,0.000405,-0.324043,0.039853,0.282636,0.894525,-0.194612,0.126489,0.470320,0.955789,-0.011274,0.039867,0.379000,0.912582,-0.231363,0.124866,0.373243,0.968183,-0.083232,0.040248,0.188516,0.639697,-0.116191,0.122641,0.255090,0.775324,-0.056605,0.125622,0.418399,0.990113,-0.252530,0.038553,0.471669,0.972246,-0.324306,0.039977,0.282859,-0.194714,0.126303,0.470270,-0.011351,0.040055,0.378730,-0.231350,0.124856,0.373349,-0.082455,0.039288,0.188000,-0.116191,0.123264,0.255690,-0.056684,0.125665,0.418316,-0.252644,0.038601,0.471637
8,0.080000,0.059288,-0.291128,-0.130804,-0.159029,0.082004,0.354919,0.000449,-0.324573,0.039695,0.283169,0.908414,-0.194592,0.126775,0.470266,0.945553,-0.011629,0.039349,0.378961,0.915679,-0.231525,0.124850,0.373264,0.973314,-0.083935,0.039136,0.188609,0.665339,-0.116576,0.121874,0.254910,0.783556,-0.056683,0.125370,0.418097,0.969365,-0.252717,0.038985,0.472074,0.968267,-0.324430,0.040158,0.282945,-0.194749,0.126500,0.470320,-0.011351,0.040055,0.378730,-0.231372,0.124926,0.373247,-0.085206,0.036494,0.188474,-0.116119,0.123291,0.255748,-0.056589,0.125624,0.418360,-0.252644,0.038601,0.471637
9,0.090000,-0.050872,-0.073978,0.000921,-0.158689,0.082268,0.354848,0.000394,-0.323998,0.039851,0.282620,0.866401,-0.194576,0.126520,0.470295,0.919650,-0.011238,0.039861,0.379011,0.801841,-0.231319,0.124878,0.373216,0.957118,-0.083180,0.040204,0.188521,0.266248,-0.116137,0.122615,0.255073,0.573093,-0.056565,0.125629,0.418387,0.905630,-0.252503,0.038590,0.471659,0.853293,-0.324306,0.039977,0.282859,-0.194605,0.126373,0.470280,-0.011202,0.040039,0.378723,-0.231430,0.124894,0.373228,-0.082455,0.039288,0.188000,-0.116042,0.123198,0.255728,-0.056684,0.125665,0.418316,-0.252644,0.038601,0.471637
10,0.100000,-0.047810,-0.117795,-0.020363,-0.158729,0.082211,0.354827,0.000420,-0.324057,0.039801,0.282641,0.897780,-0.194593,0.126564,0.470242,0.962425,-0.011292,0.039768,0.379015,0.914881,-0.231342,0.124861,0.373167,0.971766,-0.083244,0.039991,0.188529,0.680363,-0.116167,0.122465,0.255019,0.779249,-0.056585,0.125583,0.418328,0.964193,-0.252552,0.038657,0.471677,0.964165,-0.324283,0.039972,0.282781,-0.194766,0.126471,0.470276,-0.011351,0.040055,0.378730,-0.231276,0.124813,0.373326,-0.082775,0.038744,0.187870,-0.115922,0.123170,0.255615,-0.056684,0.125665,0.418316,-0.252644,0.038601,0.471637
11,0.110000,-0.027577,-0.118503,-0.030407,-0.158737,0.082189,0.354846,0.000454,-0.324098,0.039807,0.282719,0.920949,-0.194552,0.126550,0.470273,0.950115,-0.011299,0.039720,0.378983,0.897717,-0.231336,0.124852,0.373210,0.955283,-0.083318,0.039954,0.188521,0.628346,-0.116203,0.122435,0.255022,0.761367,-0.056563,0.125543,0.418310,0.967663,-0.252526,0.038653,0.471730,0.971276,-0.324338,0.040045,0.283019,-0.194766,0.126471,0.470276,-0.011256,0.040015,0.378708,-0.231451,0.124757,0.373257,-0.082775,0.038744,0.187870,-0.115954,0.123136,0.255680,-0.056573,0.125556,0.418269,-0.252644,0.038601,0.471637
12,0.120000,0.014492,-0.059772,-0.050072,-0.158819,0.082275,0.354914,0.000252,-0.324248,0.040023,0.282865,0.886974,-0.194535,0.126530,0.470413,0.943058,-0.011379,0.039731,0.378899,0.898558,-0.231390,0.124945,0.373376,0.960891,-0.083537,0.040185,0.188491,0.630596,-0.116345,0.122609,0.255101,0.751782,-0.056584,0.125529,0.418348,0.988967,-0.252538,0.038651,0.471822,0.960417,-0.324327,0.040179,0.282967,-0.194695,0.126506,0.470292,-0.011256,0.040015,0.378708,-0.231205,0.124597,0.373297,-0.083853,0.039658,0.188466,-0.115954,0.123136,0.255680,-0.056589,0.125547,0.418320,-0.252644,0.038601,0.471637
13,0.130000,-0.036133,-0.088349,-0.023880,-0.158660,0.082210,0.354818,0.000407,-0.324006,0.039846,0.282644,0.902087,-0.194498,0.126506,0.470264,0.946812,-0.011221,0.039745,0.378954,0.908034,-0.231266,0.124855,0.373194,0.970266,-0.083211,0.040071,0.188482,0.665580,-0.116116,0.122513,0.255022,0.772647,-0.056500,0.125542,0.418320,0.977886,-0.252462,0.038601,0.471665,0.953994,-0.324306,0.039977,0.282859,-0.194559,0.126305,0.470228,-0.011256,0.040015,0.378708,-0.231340,0.124852,0.373287,-0.082600,0.039020,0.187924,-0.115927,0.123173,0.255618,-0.056506,0.125593,0.418248,-0.252644,0.038601,0.471637
14,0.140000,-0.021595,-0.111595,-0.014203,-0.158727,0.082215,0.354749,0.000341,-0.324084,0.039794,0.282634,0.865986,-0.194543,0.126551,0.470186,0.938199,-0.011275,0.039784,0.378865,0.874346,-0.231336,0.124855,0.373127,0.963351,-0.083313,0.040021,0.188412,0.700072,-0.116215,0.122484,0.254926,0.941026,-0.056558,0.125590,0.418208,0.962796,-0.252492,0.038638,0.471638,0.960999,-0.324407,0.040154,0.282866,-0.194635,0.126341,0.470278,-0.011091,0.040227,0.378714,-0.231456,0.124832,0.373208,-0.082708,0.039147,0.187856,-0.116163,0.122704,0.254993,-0.056609,0.125560,0.418345,-0.252644,0.038601,0.471637
15,0.150000,0.047578,-0.293981,-0.116220,-0.158988,0.081966,0.354889,0.000447,-0.324507,0.039610,0.283108,0.865846,-0.194586,0.126733,0.470227,0.925229,-0.011583,0.039349,0.378964,0.794005,-0.231499,0.124794,0.373218,0.953522,-0.083850,0.039108,0.188597,0.257691,-0.116525,0.121841,0.254887,0.583037,-0.056666,0.125361,0.418087,0.922876,-0.252690,0.038928,0.472028,0.871985,-0.324283,0.039972,0.282781,-0.194749,0.126500,0.470320,-0.011202,0.040039,0.378723,-0.231372,0.124926,0.373247,-0.085306,0.036525,0.188444,-0.116042,0.123198,0.255728,-0.056589,0.125547,0.418320,-0.252644,0.038601,0.471637
