type,tricyc,
ngear,1,
encRes,1600,
Li,0.15,
Di,0.065,
Thi,0,
N,2,
L,,
imarkers,5,1
gt_ti,5.11,5.19
gt_tf,123.3,126.4
odo_ti,0,0
odo_tf,94.75,97.85
