type,diff,,,,,
ngear,43.7,,,,,
encRes,64,,,,,
Li,0.2,,,,,
Di,0.084,0.084,,,,
Thi,,,,,,
N,6,,,,,
L,0.75,,,,,
imarkers,2,5,,,,
gt_ti,2.62,4.37,3.2,4.31,3.49,3.5
gt_tf,95.37,97.1,95.97,97.05,96.55,96.44
odo_ti,0,0,0,0,0,0
odo_tf,90.65,90.6,90.65,90.65,90.9,90.8000000000001
