,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,"robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker4","robot-omni3:Marker4","robot-omni3:Marker4","robot-omni3:Marker4",robot-omni3:Marker1,robot-omni3:Marker1,robot-omni3:Marker1,robot-omni3:Marker2,robot-omni3:Marker2,robot-omni3:Marker2,robot-omni3:Marker3,robot-omni3:Marker3,robot-omni3:Marker3,robot-omni3:Marker4,robot-omni3:Marker4,robot-omni3:Marker4
,ID,"11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","D49C0","D49C0","D49C0","D55E0","D55E0","D55E0","D5050","D5050","D5050","D1300","D1300","D1300"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
8,0.080000,59.795071,1.711299,-1.819672,1.344684,0.783773,-0.833550,0.000380,1.250698,0.788190,-0.889648,0.949200,1.374253,0.783204,-0.796989,0.676735,1.339112,0.785507,-0.751249,0.818262,1.414671,0.778193,-0.896315,0.848114,1.250499,0.788197,-0.889831,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,,,
9,0.090000,59.944138,0.992416,-0.018519,1.344663,0.784912,-0.833746,0.000463,1.250473,0.787992,-0.889590,0.945688,1.374315,0.784368,-0.797251,0.677069,1.339223,0.784780,-0.751418,0.819519,1.414640,0.782508,-0.896725,0.848155,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,1.414724,0.782943,-0.897140
10,0.100000,59.840702,1.615855,-1.830924,1.344625,0.783697,-0.833548,0.000407,1.250589,0.787931,-0.889574,0.925612,1.374225,0.783204,-0.797009,0.918474,1.339118,0.785506,-0.751244,0.950232,1.414570,0.778148,-0.896363,0.000000,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,,,
11,0.110000,59.917809,1.094020,-0.021233,1.344697,0.784976,-0.833762,0.000429,1.250538,0.788250,-0.889647,0.925612,1.374332,0.784355,-0.797254,0.918474,1.339219,0.784783,-0.751437,0.950232,1.414699,0.782517,-0.896710,0.000000,1.250499,0.788197,-0.889831,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,1.414724,0.782943,-0.897140
12,0.120000,59.950928,1.005726,-0.020145,1.344659,0.784893,-0.833721,0.000492,1.250463,0.787998,-0.889554,0.951154,1.374315,0.784339,-0.797230,0.679570,1.339229,0.784754,-0.751393,0.819679,1.414628,0.782480,-0.896708,0.848514,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339282,0.785473,-0.751231,1.414706,0.782915,-0.897183
13,0.130000,59.813122,1.607746,-1.832830,1.344661,0.783690,-0.833549,0.000392,1.250650,0.787908,-0.889621,0.929415,1.374243,0.783204,-0.796997,0.922274,1.339113,0.785507,-0.751249,0.949920,1.414636,0.778141,-0.896331,0.000000,1.250442,0.787916,-0.889812,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,,,
14,0.140000,59.928490,0.983598,-0.015976,1.344682,0.784906,-0.833757,0.000443,1.250507,0.787969,-0.889627,0.949200,1.374325,0.784368,-0.797254,0.676735,1.339220,0.784776,-0.751430,0.818262,1.414677,0.782511,-0.896716,0.848114,1.250442,0.787916,-0.889812,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,1.414724,0.782943,-0.897140
15,0.150000,59.813122,1.607746,-1.832830,1.344661,0.783690,-0.833549,0.000392,1.250650,0.787908,-0.889621,0.949200,1.374243,0.783204,-0.796997,0.676735,1.339113,0.785507,-0.751249,0.818262,1.414636,0.778141,-0.896331,0.848114,1.250442,0.787916,-0.889812,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,,,
16,0.160000,59.944138,0.992416,-0.018519,1.344663,0.784912,-0.833746,0.000463,1.250473,0.787992,-0.889590,0.929415,1.374315,0.784368,-0.797251,0.922274,1.339223,0.784780,-0.751418,0.949920,1.414640,0.782508,-0.896725,0.000000,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,1.414724,0.782943,-0.897140
17,0.170000,59.840702,1.615855,-1.830924,1.344625,0.783697,-0.833548,0.000407,1.250589,0.787931,-0.889574,0.925612,1.374225,0.783204,-0.797009,0.918474,1.339118,0.785506,-0.751244,0.950232,1.414570,0.778148,-0.896363,0.000000,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,,,
