4031.52,0,1,2
4042.24,327,-180,51
4042.28,334,-187,50
4042.32,366,-178,43
4042.36,334,-191,71
4042.4,324,-181,79
4042.44,408,-241,81
4042.48,339,-185,91
4042.52,359,-192,75
4042.56,317,-194,94
4042.6,323,-188,90
4042.64,351,-190,104
4042.68,341,-207,105
4042.72,338,-214,111
4042.76,318,-196,99
4042.8,353,-198,95
4042.84,341,-201,83
4042.88,421,-183,75
4042.92,318,-255,80
4042.96,256,-138,68
4043,336,-195,68
4043.04,442,-184,72
4043.08,344,-240,74
4043.12,326,-190,99
4043.16,345,-189,69
4043.2,331,-200,72
4043.24,339,-197,93
4043.28,331,-207,94
4043.32,416,-199,108
4043.36,353,-242,116
4043.4,355,-191,120
4043.44,356,-182,100
4043.48,272,-133,64
4043.52,420,-206,78
4043.56,332,-276,90
4043.6,330,-210,57
4043.64,326,-206,73
4043.68,336,-200,91
4043.72,318,-206,98
4043.76,329,-192,112
4043.8,309,-189,119
4043.84,321,-199,108
4043.88,309,-213,88
4043.92,311,-206,87
4043.96,412,-221,78
4044,327,-276,83
4044.04,316,-206,104
4044.08,243,-133,69
4044.12,334,-190,79
4044.16,424,-265,82
4044.2,328,-220,114
4044.24,316,-204,98
4044.28,328,-208,99
4044.32,360,-188,101
4044.36,349,-182,99
4044.4,323,-177,114
4044.44,315,-182,91
4044.48,340,-196,84
4044.52,334,-213,66
4044.56,322,-216,57
4044.6,383,-287,65
4044.64,315,-210,42
4044.68,346,-196,51
4044.72,343,-193,52
4044.76,336,-193,53
4044.8,318,-171,57
4044.84,421,-165,63
4044.88,326,-223,69
4044.92,320,-174,90
4044.96,310,-177,65
4045,323,-158,78
4045.04,304,-155,86
4045.08,318,-150,100
4045.12,298,-157,114
4045.16,309,-149,121
4045.2,291,-141,122
4045.24,288,-146,121
4045.28,288,-153,101
4045.32,307,-164,85
4045.36,284,-172,81
4045.4,280,-146,75
4045.44,281,-140,70
4045.48,362,-183,100
4045.52,320,-146,56
4045.56,297,-158,93
4045.6,293,-149,72
4045.64,302,-149,67
4045.68,320,-170,70
4045.72,324,-184,68
4045.76,394,-180,71
4045.8,298,-211,68
4045.84,309,-159,88
4045.88,219,-133,43
4045.92,311,-163,57
4045.96,394,-212,55
4046,315,-158,65
4046.04,306,-159,54
4046.08,313,-151,56
4046.12,319,-151,53
4046.16,315,-167,57
4046.2,280,-171,52
4046.24,283,-179,50
4046.28,282,-194,42
4046.32,319,-179,41
4046.36,306,-187,45
4046.4,356,-180,73
4046.44,287,-204,96
4046.48,292,-160,99
4046.52,250,-124,85
4046.56,379,-153,131
4046.6,286,-218,133
4046.64,285,-183,143
4046.68,312,-184,88
4046.72,311,-196,78
4046.76,294,-190,82
4046.8,290,-177,83
4046.84,318,-160,84
4046.88,300,-162,88
4046.92,298,-156,80
4046.96,360,-213,93
4047,297,-178,75
4047.04,286,-175,66
4047.08,287,-169,79
4047.12,297,-176,76
4047.16,318,-164,82
4047.2,299,-165,102
4047.24,300,-137,110
4047.28,305,-135,104
4047.32,330,-164,108
4047.36,296,-186,77
4047.4,299,-196,71
4047.44,298,-180,56
4047.48,388,-176,53
4047.52,332,-226,49
4047.56,317,-183,63
4047.6,308,-178,71
4047.64,305,-153,68
4047.68,331,-154,77
4047.72,340,-174,69
4047.76,322,-153,53
4047.8,305,-171,55
4047.84,310,-170,52
4047.88,293,-201,54
4047.92,308,-182,49
4047.96,315,-175,48
4048,311,-168,63
4048.04,373,-200,80
4048.08,299,-169,64
4048.12,313,-159,57
4048.16,318,-164,55
4048.2,314,-173,67
4048.24,294,-178,68
4048.28,293,-176,76
4048.32,313,-169,62
4048.36,327,-171,68
4048.4,294,-172,74
4048.44,293,-170,58
4048.48,324,-164,53
4048.52,323,-161,60
4048.56,410,-157,69
4048.6,300,-204,73
4048.64,309,-145,86
4048.68,332,-147,72
4048.72,323,-147,68
4048.76,313,-150,68
4048.8,287,-161,61
4048.84,311,-164,56
4048.88,305,-174,62
4048.92,317,-154,66
4048.96,316,-164,70
4049,313,-160,86
4049.04,297,-157,82
4049.08,300,-152,79
4049.12,313,-151,63
4049.16,332,-150,57
4049.2,364,-191,62
4049.24,216,-176,46
4049.28,302,-174,44
4049.32,329,-164,39
4049.36,388,-164,39
4049.4,281,-209,49
4049.44,280,-151,64
