,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3
,ID,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,B234FAB0B72211EA2C2F332BD074C180,CDAD0,CDAD0,CDAD0,CCE40,CCE40,CCE40,CD000,CD000,CD000
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
10,0.1,-1.100273,-0.892511,-0.198401,-0.582082,0.10149,-0.238149,0.000484,-0.628588,0.102203,-0.18808,0.966146,-0.486054,0.100947,-0.265729,0.886292,-0.631605,0.101321,-0.260637,0.917934,-0.628712,0.102203,-0.188136,-0.485606,0.100945,-0.265811,-0.631904,0.101323,-0.260501
11,0.11,-1.017757,-1.018002,0.014537,-0.582322,0.101849,-0.238003,0.001017,-0.628755,0.102505,-0.187866,0.966146,-0.486333,0.101596,-0.265727,0.886292,-0.631877,0.101447,-0.260416,0.917934,-0.627878,0.102501,-0.188188,-0.487267,0.101603,-0.26516,-0.631933,0.101444,-0.260558
12,0.12,-1.011689,-1.163732,0.134766,-0.582318,0.101814,-0.238015,0.001074,-0.628745,0.102504,-0.187873,0.76641,-0.486333,0.101687,-0.265753,0.726886,-0.631876,0.101252,-0.26042,0.961782,-0.627878,0.102501,-0.188188,-0.487344,0.101693,-0.265172,-0.631888,0.101249,-0.260569
13,0.13,-0.803458,-1.191023,-0.32386,-0.582065,0.101428,-0.238317,0.000327,-0.628311,0.102506,-0.188014,0.883267,-0.486181,0.100522,-0.266387,0.938669,-0.631704,0.101255,-0.260549,0.913143,-0.627878,0.102501,-0.188188,-0.486255,0.100527,-0.266153,-0.632047,0.101256,-0.260601
14,0.14,-1.077278,-1.249019,0.012347,-0.582469,0.101724,-0.237938,0.001257,-0.628954,0.102586,-0.187853,0.752582,-0.486452,0.101348,-0.265561,0.635512,-0.632002,0.101236,-0.260401,0.945078,-0.628007,0.102582,-0.188139,-0.487722,0.10136,-0.264846,-0.63198,0.101232,-0.26062
15,0.15,-0.999237,-1.027707,0.019784,-0.582375,0.101845,-0.237972,0.001,-0.628792,0.102505,-0.187821,0.752582,-0.486396,0.101596,-0.265727,0.635512,-0.631938,0.101434,-0.260369,0.945078,-0.627878,0.102501,-0.188188,-0.487267,0.101603,-0.26516,-0.632047,0.101433,-0.260486
16,0.16,-0.756573,-1.113081,-0.085083,-0.582378,0.101689,-0.238133,0.00065,-0.628583,0.102508,-0.187787,0.753601,-0.486517,0.101221,-0.26629,0.740047,-0.632036,0.101337,-0.260321,0.960108,-0.627878,0.102501,-0.188188,-0.486945,0.101227,-0.265916,-0.632261,0.101338,-0.260305
17,0.17,-0.79612,-1.147382,-0.309381,-0.582038,0.101478,-0.238327,0.000296,-0.628277,0.102506,-0.188017,0.891476,-0.486157,0.100619,-0.26641,0.941016,-0.631679,0.101309,-0.260553,0.929653,-0.627878,0.102501,-0.188188,-0.48626,0.100623,-0.266198,-0.631958,0.10131,-0.26059
18,0.18,-1.187549,-0.844354,0.035506,-0.582553,0.101747,-0.237991,0.000811,-0.629135,0.102231,-0.18799,0.871806,-0.486483,0.101618,-0.265432,0.796015,-0.632042,0.101391,-0.260552,0.951492,-0.628668,0.10223,-0.188203,-0.487242,0.10162,-0.265132,-0.631854,0.101391,-0.2606
19,0.19,-0.827282,-1.228906,-0.018118,-0.582196,0.101704,-0.238262,0.000769,-0.628462,0.102573,-0.187975,0.871806,-0.4863,0.101288,-0.266303,0.796015,-0.631826,0.10125,-0.26051,0.951492,-0.627786,0.102568,-0.188282,-0.486944,0.101295,-0.265903,-0.631888,0.101249,-0.260569
