type,omni4,,,
ngear,1,,,
encRes,1,,,
Li,0.2,0.2,,
Di,0.06,0.06,0.06,0.06
Thi,,,,
N,4,,,
L,,,,
imarkers,8,7,5,6
gt_ti,9.14,4.26,4.77,6.83
gt_tf,83.89,78.85,79.45,81.89
odo_ti,0,0,0,0
odo_tf,70.26,70.26,70.28,70.72
